Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	wt_0h_1 Spectral Count	wt_0h_2 Spectral Count	wt_0h_3 Spectral Count	wt_10h_1 Spectral Count	wt_10h_2 Spectral Count	wt_10h_3 Spectral Count	wt_2h_1 Spectral Count	wt_2h_2 Spectral Count	wt_2h_3 Spectral Count	wt_4h_1 Spectral Count	wt_4h_2 Spectral Count	wt_4h_3 Spectral Count	wt_8h_1 Spectral Count	wt_8h_2 Spectral Count	wt_8h_3 Spectral Count	wt_0h_1 Unique Spectral Count	wt_0h_2 Unique Spectral Count	wt_0h_3 Unique Spectral Count	wt_10h_1 Unique Spectral Count	wt_10h_2 Unique Spectral Count	wt_10h_3 Unique Spectral Count	wt_2h_1 Unique Spectral Count	wt_2h_2 Unique Spectral Count	wt_2h_3 Unique Spectral Count	wt_4h_1 Unique Spectral Count	wt_4h_2 Unique Spectral Count	wt_4h_3 Unique Spectral Count	wt_8h_1 Unique Spectral Count	wt_8h_2 Unique Spectral Count	wt_8h_3 Unique Spectral Count	wt_0h_1 Total Spectral Count	wt_0h_2 Total Spectral Count	wt_0h_3 Total Spectral Count	wt_10h_1 Total Spectral Count	wt_10h_2 Total Spectral Count	wt_10h_3 Total Spectral Count	wt_2h_1 Total Spectral Count	wt_2h_2 Total Spectral Count	wt_2h_3 Total Spectral Count	wt_4h_1 Total Spectral Count	wt_4h_2 Total Spectral Count	wt_4h_3 Total Spectral Count	wt_8h_1 Total Spectral Count	wt_8h_2 Total Spectral Count	wt_8h_3 Total Spectral Count	wt_0h_1 Intensity	wt_0h_2 Intensity	wt_0h_3 Intensity	wt_10h_1 Intensity	wt_10h_2 Intensity	wt_10h_3 Intensity	wt_2h_1 Intensity	wt_2h_2 Intensity	wt_2h_3 Intensity	wt_4h_1 Intensity	wt_4h_2 Intensity	wt_4h_3 Intensity	wt_8h_1 Intensity	wt_8h_2 Intensity	wt_8h_3 Intensity	wt_0h_1 MaxLFQ Intensity	wt_0h_2 MaxLFQ Intensity	wt_0h_3 MaxLFQ Intensity	wt_10h_1 MaxLFQ Intensity	wt_10h_2 MaxLFQ Intensity	wt_10h_3 MaxLFQ Intensity	wt_2h_1 MaxLFQ Intensity	wt_2h_2 MaxLFQ Intensity	wt_2h_3 MaxLFQ Intensity	wt_4h_1 MaxLFQ Intensity	wt_4h_2 MaxLFQ Intensity	wt_4h_3 MaxLFQ Intensity	wt_8h_1 MaxLFQ Intensity	wt_8h_2 MaxLFQ Intensity	wt_8h_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	0.9784	0.999	1	3	3	3	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	6814315.5	0.0	0.0	0.0	0.0	0.0	0.0	1.1434415E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6814315.5	0.0	0.0	0.0	0.0	0.0	0.0	1.1434415E7	0.0	0.0	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	1.0	0.999	24	56	13	56	0	0	0	18	0	16	0	21	0	0	0	0	1	0	0	0	0	0	3	0	3	0	7	0	0	0	0	0	0	0	0	0	0	18	0	16	0	21	0	0	0	0	1	0	0	4.0444888E7	0.0	0.0	1.83716326E9	1.1042452E7	9.2018797E8	0.0	1.05846067E9	1.8576566E7	0.0	0.0	1.3523857E7	0.0	1.351284E7	0.0	2.1440356E7	0.0	0.0	9.6492083E8	9249632.0	5.13405216E8	0.0	5.6053728E8	2.6069428E7	0.0	3.8930952E7	1.8978708E7	0.0	1.8963248E7	0.0	
contam_sp|P15252|REF_HEVBR	P15252	REF_HEVBR		138	Hevea brasiliensis	1:Experimental evidence at protein level	Rubber elongation factor protein	0.9784	0.999	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1.697519E7	0.0	2.480323E7	0.0	0.0	0.0	1.4677512E7	1.4812851E7	0.0	0.0	2.7429246E7	5.2446656E7	0.0	0.0	0.0	1.697519E7	0.0	2.480323E7	0.0	0.0	0.0	1.4677512E7	1.4812851E7	0.0	0.0	2.7429246E7	5.2446656E7	0.0	0.0	0.0	
contam_sp|P25690|K1M2_SHEEP	P25690	K1M2_SHEEP		404	Ovis aries	3:Protein inferred from homology	Keratin, type I microfibrillar, 47.6 kDa	1.0	0.999	18	11	3	47	0	0	0	2	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	14	0	16	0	17	0	0	0	0	0	0	0	0.0	7.374788E7	0.0	9.1794957E8	0.0	7.1472192E8	0.0	1.33766496E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05920728E8	0.0	3.82776256E8	0.0	2.76277248E8	0.0	1.7617776E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P25691|K2M3_SHEEP	P25691	K2M3_SHEEP		502	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 5	1.0	0.999	19	14	6	42	0	0	0	4	0	6	0	4	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	15	0	14	0	12	0	0	0	0	1	0	0	0.0	5.5986739E8	4.97389536E8	7.9549798E8	6.3286074E8	7.4771187E8	0.0	6.0849645E8	0.0	6.0500742E8	6.1558022E8	3.75609376E8	5.31501088E8	0.0	0.0	0.0	4.45589504E8	4.97389536E8	7.2618938E8	6.3286074E8	7.6429248E8	0.0	6.1446419E8	0.0	6.0500742E8	6.6208742E8	4.35826464E8	5.31501088E8	0.0	0.0	
sp|B0G0Y8|PDE3_DICDI	B0G0Y8	PDE3_DICDI	pde3	466	Dictyostelium discoideum	1:Experimental evidence at protein level	cGMP-specific 3',5'-cGMP phosphodiesterase 3	0.9076	0.9954	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0G102|CKS1_DICDI	B0G102	CKS1_DICDI	cks1	82	Dictyostelium discoideum	3:Protein inferred from homology	Cyclin-dependent kinases regulatory subunit	1.0	0.999	3	5	5	5	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	8.1233008E7	6.0782328E7	6.9849712E7	0.0	0.0	0.0	4.9691208E7	4.56765E7	0.0	0.0	3.8463988E7	3.0576362E7	0.0	4.509742E7	0.0	8.1233008E7	6.0782328E7	6.9849712E7	0.0	0.0	0.0	4.9691208E7	4.56765E7	0.0	0.0	3.8463988E7	3.0576362E7	0.0	4.509742E7	0.0	
sp|B0G104|NIP7_DICDI	B0G104	NIP7_DICDI	nip7	179	Dictyostelium discoideum	3:Protein inferred from homology	60S ribosome subunit biogenesis protein NIP7 homolog	1.0	0.999	4	16	16	16	1	1	2	0	0	0	1	1	3	1	2	3	1	0	0	1	1	2	0	0	0	1	1	3	1	2	3	1	0	0	1	1	2	0	0	0	1	1	3	1	2	3	1	0	0	2.5603914E7	2.3075578E7	2.0970614E7	0.0	3991364.8	8360215.0	2.3315726E7	2.2649376E7	1.793124E7	2.5435882E7	2.177702E7	2.2588142E7	1.2061017E7	1.3806379E7	1.1517674E7	2.5603914E7	2.3075578E7	2.4577202E7	0.0	3991364.8	8360215.0	2.3315726E7	2.2649376E7	1.608997E7	2.5435882E7	2.067604E7	2.2622748E7	1.2061017E7	1.3806379E7	1.1517674E7	
sp|B0G107|SAMH1_DICDI	B0G107	SAMH1_DICDI	DDB_G0272484	514	Dictyostelium discoideum	3:Protein inferred from homology	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 homolog	0.9986	0.999	2	4	4	4	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0G124|Y9043_DICDI	B0G124	Y9043_DICDI	DDB_G0279043	200	Dictyostelium discoideum	4:Protein predicted	Ankyrin repeat-containing protein DDB_G0279043	1.0	0.999	3	5	5	5	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0.0	8907398.0	1.0423121E7	0.0	0.0	8549753.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8907398.0	1.0423121E7	0.0	0.0	8549753.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0G132|DPH2_DICDI	B0G132	DPH2_DICDI	dph2	588	Dictyostelium discoideum	3:Protein inferred from homology	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	0.9784	0.999	2	5	5	5	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0.0	0.0	6963090.0	0.0	0.0	0.0	5303688.5	4631626.5	0.0	1226291.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6963090.0	0.0	0.0	0.0	5303688.5	4631626.5	0.0	1226291.8	0.0	0.0	0.0	0.0	0.0	
sp|B0G159|MCFC_DICDI	B0G159	MCFC_DICDI	mcfC	472	Dictyostelium discoideum	2:Experimental evidence at transcript level	Mitochondrial substrate carrier family protein C	1.0	0.999	7	39	39	39	3	2	2	2	3	3	3	3	3	3	3	3	2	2	2	3	2	2	2	3	3	3	3	3	3	3	3	2	2	2	3	2	2	2	3	3	3	3	3	3	3	3	2	2	2	8.2263992E7	7.7113024E7	3.6306728E7	7.9025432E7	8.7005088E7	9.0686584E7	9.0806888E7	9.888016E7	9.4809496E7	8.924424E7	1.0340156E8	9.6386672E7	7.0659448E7	8.3657896E7	8.9598384E7	4.659542E7	5.4055748E7	2.7952208E7	4.0999872E7	5.1425656E7	4.8359092E7	5.2756984E7	5.4601736E7	5.2851856E7	5.1586368E7	5.6911064E7	5.2508604E7	4.0387352E7	4.6915828E7	5.0245096E7	
sp|B0G163|EXOC5_DICDI	B0G163	EXOC5_DICDI	exoc5	978	Dictyostelium discoideum	3:Protein inferred from homology	Exocyst complex component 5	1.0	0.999	3	10	10	10	0	1	1	0	0	0	0	2	0	0	0	3	2	0	1	0	1	1	0	0	0	0	2	0	0	0	3	2	0	1	0	1	1	0	0	0	0	2	0	0	0	3	2	0	1	1.968125E7	1.3888938E7	1.5454692E7	1.2395965E7	1.5374034E7	1.3441055E7	1.1309511E7	0.0	1.9299398E7	1.0731877E7	1.4283947E7	0.0	1.2773338E7	1.863771E7	1.4889948E7	1.8672574E7	1.3177122E7	1.5368969E7	1.1760665E7	1.4586106E7	1.2752193E7	1.0729892E7	6938273.5	1.8310294E7	1.0181862E7	1.3551887E7	2.5467882E7	1.1804832E7	1.8947218E7	1.2911576E7	
sp|B0G172|PGTB2_DICDI	B0G172	PGTB2_DICDI	rabggtb	339	Dictyostelium discoideum	3:Protein inferred from homology	Probable geranylgeranyl transferase type-2 subunit beta	1.0	0.999	4	24	24	24	2	2	1	2	2	2	1	2	1	3	1	1	1	1	2	2	2	1	2	2	2	1	2	1	3	1	1	1	1	2	2	2	1	2	2	2	1	2	1	3	1	1	1	1	2	4.520984E7	4.6334484E7	4.220004E7	3.652592E7	4.7362516E7	3.5187096E7	3.5218476E7	4.3699504E7	2.5690656E7	3.9934596E7	3.5437852E7	4.1925388E7	4.5253824E7	5.079788E7	4.0683948E7	3.8676012E7	2.7325704E7	3.3046216E7	2.7544892E7	3.3158216E7	3.6536208E7	2.8395648E7	3.0007554E7	2.9860586E7	2.8417436E7	2.5683594E7	2.7159908E7	2.9511454E7	3.5130032E7	3.77189E7	
sp|B0G180|SPCS3_DICDI	B0G180	SPCS3_DICDI	spcs3	170	Dictyostelium discoideum	3:Protein inferred from homology	Signal peptidase complex subunit 3	0.9995	0.999	2	5	5	5	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0.0	7756560.0	9424710.0	6652059.0	9865177.0	1.6776778E7	3094660.0	3472760.2	0.0	8672993.0	4444537.5	4065305.5	1.6349618E7	0.0	1.0139426E7	0.0	7756560.0	9424710.0	6652059.0	9865177.0	1.6880176E7	3094660.0	3472760.2	0.0	8672993.0	4444537.5	4065305.5	1.6249471E7	0.0	1.0139426E7	
sp|B0G185|AP1S2_DICDI	B0G185	AP1S2_DICDI	ap1s2	154	Dictyostelium discoideum	3:Protein inferred from homology	AP-1 complex subunit sigma-2	1.0	0.999	4	21	21	21	1	2	1	2	1	1	1	2	1	1	1	3	1	2	1	1	2	1	2	1	1	1	2	1	1	1	3	1	2	1	1	2	1	2	1	1	1	2	1	1	1	3	1	2	1	7.6842648E7	0.0	2.579328E8	1.57432112E8	8.1242208E7	0.0	2.76595776E8	1.01205712E8	2.36730784E8	1.93808272E8	0.0	2.36664528E8	0.0	9.569952E7	1.40358304E8	6.82086E7	0.0	3.6349504E8	9.0244992E7	7.2113824E7	0.0	3.89796064E8	1.42625424E8	8.8769096E7	1.10817808E8	0.0	3.33522432E8	0.0	8.4946704E7	7.7485144E7	
sp|B0G186|UFM1_DICDI	B0G186	UFM1_DICDI	ufm1	85	Dictyostelium discoideum	3:Protein inferred from homology	Ubiquitin-fold modifier 1	0.9784	0.999	1	3	3	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1.1010524E7	7853382.0	9910105.0	0.0	1.0527626E7	8529598.0	0.0	0.0	9687163.0	9158598.0	0.0	7548680.0	1.0225841E7	1.1551608E7	1.092494E7	1.1010524E7	7853382.0	9910105.0	0.0	1.0527626E7	8529598.0	0.0	0.0	9687163.0	9158598.0	0.0	7548680.0	1.0225841E7	1.1551608E7	1.092494E7	
sp|B0G189|GUF1_DICDI	B0G189	GUF1_DICDI	guf1	685	Dictyostelium discoideum	3:Protein inferred from homology	Translation factor GUF1 homolog, mitochondrial	1.0	0.999	4	9	9	9	4	1	0	0	1	1	0	0	0	0	0	0	1	0	1	4	1	0	0	1	1	0	0	0	0	0	0	1	0	1	4	1	0	0	1	1	0	0	0	0	0	0	1	0	1	6899036.5	0.0	0.0	0.0	6609244.5	6766819.0	0.0	0.0	0.0	0.0	0.0	4951371.5	1903863.5	0.0	5870252.0	9621485.0	7308884.5	0.0	0.0	9227184.0	9447174.0	1.0133165E7	0.0	0.0	0.0	0.0	6912623.0	2657988.8	0.0	8205598.0	
sp|B0M0P5|DDB1_DICDI	B0M0P5	DDB1_DICDI	repE	1181	Dictyostelium discoideum	1:Experimental evidence at protein level	DNA damage-binding protein 1	1.0	0.999	8	46	46	46	3	4	4	3	2	4	3	3	3	1	3	3	3	3	4	3	4	4	3	2	4	3	3	3	1	3	3	3	3	4	3	4	4	3	2	4	3	3	3	1	3	3	3	3	4	8.9894584E7	8.1305848E7	8.7432616E7	8.3721584E7	7.5947056E7	7.8239792E7	8.6909664E7	7.9188512E7	6.749276E7	4.7266568E7	5.195954E7	9.0516816E7	8.784976E7	5.1870228E7	8.5162304E7	3.6589E7	3.4591852E7	3.5461504E7	3.5034208E7	3.047131E7	3.1316228E7	3.6555572E7	3.30378E7	2.9125406E7	3.1363456E7	3.3846532E7	3.7472924E7	3.7492356E7	3.4457884E7	3.2528998E7	
sp|B0M0P8|GEFL_DICDI	B0M0P8	GEFL_DICDI	gefL	2356	Dictyostelium discoideum	2:Experimental evidence at transcript level	Ras guanine nucleotide exchange factor L	0.9999	0.9988	3	5	5	5	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	5.56217E7	0.0	2.859798E7	3.7525932E7	8.721004E7	6.7393104E7	3.9847696E7	3.5842844E7	3.5245888E7	3.3538304E7	4.7626192E7	5.4023568E7	5.3742096E7	5.308162E7	9.208024E7	5.56217E7	0.0	2.859798E7	3.7525932E7	7.990156E7	6.7393104E7	3.9847696E7	3.9121336E7	3.5245888E7	3.3538304E7	4.7626192E7	5.4023568E7	5.3742096E7	5.308162E7	9.208024E7	
