Entry	Length	Annotation	Mass
Q54V07	902	5.0	100319
Q54VB6	628	5.0	73394
Q54W90	894	5.0	104017
Q54WH2	1218	5.0	135329
Q54WI0	1333	5.0	146118
Q54WJ0	586	5.0	66252
Q54WR4	1216	5.0	140700
Q54WT8	294	5.0	31243
Q54WX4	384	5.0	42918
Q54WZ2	592	5.0	66211
Q54X65	68	5.0	8198
Q54X77	150	5.0	16955
Q54X82	942	5.0	106609
Q54XG7	1230	5.0	140627
Q54XI2	938	5.0	107223
Q54XQ2	1125	5.0	125492
Q54XS1	441	5.0	50415
Q54XY4	1582	5.0	174927
Q54YD9	657	5.0	73720
Q54YF2	727	5.0	81639
Q54YU6	876	5.0	98085
Q54ZW0	587	5.0	68547
Q550R2	441	5.0	50460
Q552C6	635	5.0	72979
Q552S0	674	5.0	75521
Q553K4	629	5.0	70404
Q553U6	376	5.0	41735
Q553W9	322	5.0	37282
Q553Y1	369	5.0	41871
Q553Y7	1483	5.0	167362
Q555I8	1222	5.0	136066
Q556N5	287	5.0	32349
Q556R7	303	5.0	30854
Q556Y4	426	5.0	49215
Q557E4	162	5.0	18702
Q557E7	665	5.0	74962
Q557J6	481	5.0	55338
Q558K8	237	5.0	27379
Q558U1	2258	5.0	252390
Q558Z2	905	5.0	104743
Q55AN8	1167	5.0	130198
Q55AP1	798	5.0	89613
Q55AX2	1845	5.0	212281
Q55BH9	617	5.0	71946
Q55BN8	418	5.0	48933
Q55BN9	136	5.0	15560
Q55BP0	136	5.0	15601
Q55BW0	278	5.0	30710
Q55BW2	422	5.0	48641
Q55C57	473	5.0	52554
Q55CC5	1368	5.0	155666
Q55CK2	877	5.0	97411
Q55CL6	660	5.0	74138
Q55CS7	834	5.0	94023
Q55CT0	600	5.0	67296
Q55CZ1	1637	5.0	184901
Q55D99	1197	5.0	134650
Q55DD4	1678	5.0	190772
Q55DH8	692	5.0	78033
Q55DL0	503	5.0	56032
Q55DM1	3619	5.0	408030
Q55E26	1198	5.0	134479
Q55E54	962	5.0	105955
Q55E58	3184	5.0	356654
Q55E72	3147	5.0	352195
Q55F68	2123	5.0	243012
Q55F94	880	5.0	100009
Q55FP0	641	5.0	73365
Q55FS2	1105	5.0	123745
Q55FT4	2247	5.0	252890
Q55FT9	332	5.0	35313
Q55G45	658	5.0	75140
Q55G87	180	5.0	20757
Q55GF9	1320	5.0	152366
Q55GJ2	984	5.0	112801
Q55GJ6	214	5.0	23446
Q55GV3	477	5.0	54177
Q55GV9	686	5.0	76480
Q5FXM5	84	5.0	9431
Q5TJ57	1561	5.0	174238
Q5TJ65	380	5.0	39107
Q5XM24	494	5.0	55402
Q6B516	760	5.0	83966
Q6B9X6	625	5.0	70158
Q6IMN8	297	5.0	33649
Q6S000	1499	5.0	168307
Q6S002	1238	5.0	139012
Q6S003	1873	5.0	208948
Q6T486	520	5.0	60553
Q6TMK4	531	5.0	60797
Q6UK63	1336	5.0	153205
Q6XHB2	1726	5.0	193282
Q70GP4	1148	5.0	129275
Q71A39	316	5.0	36853
Q75J96	1055	5.0	118502
Q75JI3	738	5.0	82233
Q75JK0	781	5.0	89690
Q75JT4	783	5.0	87581
Q76NU1	493	5.0	54876
Q76P24	3095	5.0	346847
Q7YSW8	623	5.0	71393
Q7YXU4	600	5.0	65878
Q869N2	852	5.0	93123
Q869Q3	1160	5.0	133540
Q869S5	1671	5.0	186136
Q869V1	533	5.0	60034
Q86AS5	760	5.0	87555
Q86AT8	638	5.0	72983
Q86C65	2380	5.0	268750
Q86CR8	122	5.0	14097
Q86CR9	707	5.0	79859
Q86CS2	668	5.0	77175
Q86D86	828	5.0	92861
Q86G47	1298	5.0	143833
Q86GL4	698	5.0	81239
Q86H13	1039	5.0	119447
Q86H98	215	5.0	25045
Q86HE5	297	5.0	29304
Q86IG3	232	5.0	26622
Q86IV5	258	5.0	26659
Q86JF2	4118	5.0	463997
Q86JM7	378	5.0	42186
Q86KF9	624	5.0	70024
Q86KI1	989	5.0	110700
Q86KR9	284	5.0	33348
Q86L04	711	5.0	80179
Q8I0F4	419	5.0	46576
Q8I7P3	787	5.0	89414
Q8I7T3	952	5.0	104675
Q8I8U2	895	5.0	99625
Q8IS16	604	5.0	69714
Q8IS18	1037	5.0	114738
Q8IS21	1529	5.0	174053
Q8MLZ3	867	5.0	97992
Q8MM62	1096	5.0	124924
Q8MML5	569	5.0	62330
Q8MN58	194	5.0	22137
Q8MQU6	492	5.0	55749
Q8MUF9	649	5.0	72623
Q8MVR1	2631	5.0	294127
Q8MXY0	431	5.0	46992
Q8MY12	780	5.0	86180
Q8SSS9	1553	5.0	174817
Q8ST66	1476	5.0	166508
Q8T135	990	5.0	110435
Q8T1C6	423	5.0	49069
Q8T1G4	181	5.0	19526
Q8T2I8	1167	5.0	129682
Q8T638	363	5.0	41619
Q8T7K0	794	5.0	90526
Q8T9S7	533	5.0	59831
Q8WQ86	506	5.0	56983
Q94464	853	5.0	96106
Q94465	232	5.0	26277
Q94502	943	5.0	108772
Q95UQ1	197	5.0	22340
Q95VZ3	1050	5.0	113887
Q95YH0	380	5.0	42771
Q95YL4	205	5.0	23307
Q95YL5	197	5.0	22355
Q95ZG8	69	5.0	7679
Q968Z6	557	5.0	62300
Q9BIW4	198	5.0	21501
Q9BIW5	182	5.0	20555
Q9BKJ9	755	5.0	82572
Q9BLG3	431	5.0	46368
Q9BLG4	463	5.0	49051
Q9BPU3	792	5.0	89360
Q9GPF1	421	5.0	47144
Q9GPR7	200	5.0	22189
Q9GPS0	201	5.0	22813
Q9GRF8	216	5.0	24121
Q9GRX6	532	5.0	59667
Q9GSG9	399	5.0	42446
Q9GTN7	1752	5.0	192812
Q9NA13	3177	5.0	360531
Q9NAX4	464	5.0	47250
Q9NGP5	1328	5.0	149123
Q9NGQ2	2205	5.0	248003
Q9NH03	382	5.0	43590
Q9NHF6	354	5.0	37870
Q9NIV0	527	5.0	58360
Q9TW28	1737	5.0	195862
Q9TX43	443	5.0	51467
Q9U1M8	2357	5.0	268284
Q9U1M9	920	5.0	105254
Q9U3X4	626	5.0	68516
Q9U720	1059	5.0	121412
Q9U7C9	756	5.0	85404
Q9U8Q1	895	5.0	97644
Q9UAG7	397	5.0	43925
Q9XXV8	858	5.0	94364
Q9XYS3	517	5.0	59752
Q9XYS8	779	5.0	87829
Q9XZE5	306	5.0	35186
Q9Y0B7	305	5.0	34862
Q9Y0C9	838	5.0	94059
Q9Y0T2	1247	5.0	142388
Q9Y1W0	464	5.0	54005
B0G168	106	4.0	12100
B0M0P8	2356	4.0	262822
C7FZZ0	357	4.0	40170
O15736	612	4.0	68747
O15757	321	4.0	36939
O15816	711	4.0	81717
O15818	1320	4.0	148687
O21042	764	4.0	85501
O60950	579	4.0	64175
O76187	766	4.0	87693
O96099	467	4.0	54463
O96612	451	4.0	51134
O96668	1402	4.0	164017
O96904	438	4.0	50289
O97470	309	4.0	33469
P04988	343	4.0	38510
P04989	376	4.0	41851
P08800	511	4.0	57885
P09402	150	4.0	16246
P09556	478	4.0	52519
P10901	461	4.0	52647
P13021	272	4.0	30695
P13022	281	4.0	31163
P13833	161	4.0	18323
P14329	186	4.0	21613
P14794	128	4.0	14671
P14797	154	4.0	17449
P15112	839	4.0	92659
P15269	537	4.0	56584
P15808	303	4.0	35395
P19198	333	4.0	35339
P20609	53	4.0	6110
P20610	55	4.0	6275
P21837	550	4.0	61066
P21900	427	4.0	47285
P22683	106	4.0	10509
P22699	705	4.0	75911
P26355	205	4.0	22799
P34045	390	4.0	44006
P34090	699	4.0	76555
P34101	595	4.0	67100
P34118	843	4.0	94130
P34121	146	4.0	16004
P34139	202	4.0	22563
P34147	598	4.0	67402
P35084	1727	4.0	192740
P36413	635	4.0	68986
P36415	640	4.0	70415
P36418	959	4.0	109462
P42521	338	4.0	39371
P42524	436	4.0	49534
P42529	156	4.0	17741
P51405	267	4.0	30036
P54639	442	4.0	45690
P54640	344	4.0	37237
P54641	356	4.0	40831
P54642	196	4.0	20149
P54643	677	4.0	71805
P54647	618	4.0	68201
P54651	700	4.0	79866
P54659	846	4.0	95073
P54661	283	4.0	33173
P54675	1697	4.0	192942
P54677	1180	4.0	132681
P54680	610	4.0	67092
P54696	1771	4.0	200699
P90520	1284	4.0	146400
P90522	493	4.0	56010
Q01501	275	4.0	30158
Q1ZXC6	559	4.0	63210
Q1ZXD6	2800	4.0	307014
Q1ZXE9	960	4.0	106799
Q1ZXF1	277	4.0	30187
Q1ZXF7	356	4.0	41061
Q1ZXH9	466	4.0	52686
Q1ZXI0	135	4.0	15771
Q1ZXQ0	1019	4.0	111583
Q1ZXQ4	673	4.0	75581
Q23858	424	4.0	48365
Q23892	821	4.0	89344
Q23925	909	4.0	102109
Q3ZE13	366	4.0	40745
Q54B10	631	4.0	71146
Q54B27	1025	4.0	118207
Q54B33	926	4.0	104244
Q54B43	861	4.0	97150
Q54BC8	272	4.0	30280
Q54BF0	593	4.0	66318
Q54BK2	714	4.0	78438
Q54BX3	88	4.0	9111
Q54C71	1125	4.0	125581
Q54CH1	580	4.0	64537
Q54CJ4	271	4.0	32176
Q54CP4	757	4.0	84221
Q54CR9	1088	4.0	124791
Q54CS9	1351	4.0	156207
Q54CU9	671	4.0	76229
Q54D07	275	4.0	30536
Q54D84	697	4.0	79148
Q54DA9	580	4.0	63165
Q54DS8	301	4.0	33602
Q54DW4	1350	4.0	149937
Q54DX7	285	4.0	32784
Q54DY1	442	4.0	47724
Q54E29	256	4.0	30110
Q54E49	423	4.0	48171
Q54ED3	459	4.0	50096
Q54EF2	341	4.0	39121
Q54EG9	965	4.0	112249
Q54EN4	513	4.0	57753
Q54ER6	147	4.0	17815
Q54ES8	202	4.0	22771
Q54EW0	1154	4.0	129489
Q54EW1	481	4.0	53584
Q54EW2	1080	4.0	120674
Q54EW8	488	4.0	51794
Q54EY0	823	4.0	94242
Q54EY4	562	4.0	61799
Q54F46	803	4.0	88800
Q54FB9	445	4.0	51600
Q54FI4	603	4.0	70153
Q54G18	1115	4.0	121786
Q54GJ2	815	4.0	87706
Q54GN2	222	4.0	25582
Q54GP8	100	4.0	10934
Q54GQ6	700	4.0	79762
Q54GY6	1311	4.0	149141
Q54H45	690	4.0	76041
Q54H80	200	4.0	22416
Q54HI0	512	4.0	58871
Q54I64	817	4.0	91846
Q54I89	1331	4.0	151558
Q54I90	479	4.0	52691
Q54IE8	1350	4.0	156241
Q54IF7	183	4.0	20414
Q54IZ9	1608	4.0	183030
Q54J08	2282	4.0	256735
Q54J33	407	4.0	46362
Q54J97	556	4.0	59846
Q54JG7	485	4.0	53775
Q54JL0	633	4.0	73508
Q54JL3	537	4.0	59257
Q54JT7	659	4.0	74480
Q54KA7	986	4.0	107523
Q54KE6	699	4.0	77089
Q54KF3	772	4.0	87516
Q54KI4	1196	4.0	131394
Q54KM0	718	4.0	78840
Q54KM6	435	4.0	48553
Q54KV6	570	4.0	64973
Q54L53	791	4.0	87715
Q54L85	328	4.0	36765
Q54LJ3	478	4.0	54919
Q54LP3	254	4.0	28698
Q54LQ6	194	4.0	21730
Q54LR6	605	4.0	70465
Q54LT0	275	4.0	31756
Q54LY5	796	4.0	90938
Q54M18	847	4.0	92818
Q54M25	145	4.0	15188
Q54M77	1867	4.0	209114
Q54MA6	190	4.0	21214
Q54MA9	909	4.0	102003
Q54ME1	448	4.0	48674
Q54MH3	1106	4.0	126564
Q54MI3	1278	4.0	146049
Q54MY9	860	4.0	97846
Q54N49	511	4.0	56847
Q54N97	1104	4.0	125346
Q54NE6	249	4.0	28480
Q54NJ8	180	4.0	20536
Q54NM6	630	4.0	71582
Q54NP6	291	4.0	32407
Q54NU0	384	4.0	43124
Q54P47	1335	4.0	149360
Q54PF3	332	4.0	37889
Q54PN5	964	4.0	110646
Q54PN9	324	4.0	34963
Q54PR9	416	4.0	46755
Q54PT2	444	4.0	49605
Q54PY7	318	4.0	35203
Q54Q04	451	4.0	50799
Q54Q69	3432	4.0	383457
Q54Q71	870	4.0	98019
Q54Q99	483	4.0	55205
Q54QC8	598	4.0	67773
Q54QE4	997	4.0	108939
Q54QG9	442	4.0	49301
Q54QI2	941	4.0	103673
Q54QJ9	276	4.0	30985
Q54QM4	1175	4.0	132048
Q54QM5	547	4.0	64245
Q54QM6	1053	4.0	117119
Q54QQ0	515	4.0	56311
Q54QR2	266	4.0	28659
Q54QT7	166	4.0	19086
Q54R74	1135	4.0	131571
Q54RD4	2380	4.0	275442
Q54RD6	312	4.0	35694
Q54RT9	322	4.0	38207
Q54S20	2678	4.0	298838
Q54S31	374	4.0	44081
Q54S77	1966	4.0	216970
Q54SD0	221	4.0	25288
Q54SD5	213	4.0	24515
Q54SF9	941	4.0	105417
Q54SH8	764	4.0	84896
Q54SJ5	312	4.0	35219
Q54SV8	1509	4.0	172818
Q54T05	522	4.0	61089
Q54T06	573	4.0	63242
Q54TC2	379	4.0	40553
Q54TF8	465	4.0	51720
Q54TM2	790	4.0	88926
Q54TN2	580	4.0	65993
Q54TW4	347	4.0	40373
Q54U71	463	4.0	51925
Q54U72	272	4.0	29899
Q54U75	369	4.0	42976
Q54UF3	461	4.0	51695
Q54UI6	2285	4.0	263277
Q54UK0	1269	4.0	142142
Q54UL8	983	4.0	113573
Q54UT2	285	4.0	33193
Q54UU3	236	4.0	26166
Q54UW5	469	4.0	51971
Q54VA2	485	4.0	52963
Q54VD8	574	4.0	67270
Q54VI1	712	4.0	79684
Q54VI3	1042	4.0	117144
Q54VQ5	462	4.0	52621
Q54W07	252	4.0	28577
Q54W19	734	4.0	84377
Q54W86	928	4.0	102891
Q54WG6	154	4.0	16824
Q54WH5	1677	4.0	186261
Q54WN7	631	4.0	70777
Q54WS5	2147	4.0	239183
Q54WU6	601	4.0	68407
Q54X55	804	4.0	91442
Q54X63	1158	4.0	130672
Q54XC1	592	4.0	68352
Q54XL6	574	4.0	64223
Q54XP1	356	4.0	41418
Q54XS3	1661	4.0	186642
Q54XV3	77	4.0	8515
Q54XY1	386	4.0	43535
Q54Y08	877	4.0	98378
Q54Y26	530	4.0	61021
Q54Y32	856	4.0	95418
Q54Y50	695	4.0	79769
Q54YE2	339	4.0	40211
Q54YH4	1969	4.0	218999
Q54YL2	245	4.0	28416
Q54YV4	956	4.0	108047
Q54YW1	977	4.0	109938
Q54YZ0	502	4.0	56268
Q54Z25	1640	4.0	188250
Q54Z26	457	4.0	50688
Q54Z42	669	4.0	74905
Q54Z85	276	4.0	31731
Q550C8	836	4.0	93649
Q550D5	872	4.0	99004
Q550F6	308	4.0	34321
Q550K8	2454	4.0	274128
Q550L8	1358	4.0	151092
Q550Q4	185	4.0	20715
Q551H4	1028	4.0	115488
Q551M2	244	4.0	26254
Q551V8	2843	4.0	315318
Q552D9	1437	4.0	164847
Q552E2	1479	4.0	160367
Q553P5	152	4.0	17204
Q553X7	344	4.0	37850
Q553Y0	368	4.0	41756
Q555L5	259	4.0	29040
Q555X4	516	4.0	59898
Q556G3	198	4.0	22538
Q556J0	661	4.0	71957
Q556Q3	1400	4.0	164197
Q556S2	513	4.0	57705
Q556Y8	476	4.0	53798
Q557E6	351	4.0	38881
Q557G1	1448	4.0	169401
Q557I6	552	4.0	63029
Q55AI5	445	4.0	48350
Q55AR3	462	4.0	52235
Q55AR6	920	4.0	103972
Q55AX0	904	4.0	104370
Q55BP5	1521	4.0	171162
Q55C16	1017	4.0	113745
Q55CC2	287	4.0	32185
Q55CH0	654	4.0	74207
Q55CP6	765	4.0	84828
Q55CS9	651	4.0	70845
Q55CT1	667	4.0	76193
Q55CT4	861	4.0	98574
Q55CY9	1326	4.0	150109
Q55DA0	615	4.0	68269
Q55DB0	343	4.0	39579
Q55DD5	1536	4.0	173131
Q55DJ8	1444	4.0	167425
Q55DR6	667	4.0	74609
Q55DV9	387	4.0	42497
Q55E68	200	4.0	22786
Q55EC7	960	4.0	107769
Q55EI0	629	4.0	73820
Q55EK9	302	4.0	34319
Q55EL3	499	4.0	55797
Q55EU7	393	4.0	45935
Q55F21	426	4.0	47285
Q55F37	1048	4.0	117228
Q55FG3	3848	4.0	440005
Q55FQ9	782	4.0	87876
Q55FS0	425	4.0	47055
Q55FS3	328	4.0	37605
Q55FT1	1009	4.0	110444
Q55FX5	1382	4.0	155978
Q55G81	776	4.0	88278
Q55GE2	300	4.0	32388
Q55GH4	878	4.0	97515
Q55GK8	471	4.0	55568
Q55GN6	719	4.0	80506
Q55GQ5	153	4.0	15856
Q55GS3	607	4.0	65169
Q5TJ56	1220	4.0	135806
Q5VJL3	1577	4.0	175900
Q6RZZ9	1265	4.0	142748
Q6S001	685	4.0	75439
Q6S004	1030	4.0	118658
Q6TU48	544	4.0	60652
Q6XHA5	1487	4.0	168497
Q75JQ3	423	4.0	48982
Q75JR2	428	4.0	48064
Q75JR3	412	4.0	46370
Q75JZ1	587	4.0	64479
Q76NV1	836	4.0	97098
Q76NW2	108	4.0	12017
Q7KWK5	514	4.0	56811
Q7KWM5	420	4.0	47614
Q7KWS2	335	4.0	37104
Q7M438	223	4.0	24584
Q7YSJ4	708	4.0	76482
Q7YXD4	530	4.0	57633
Q7Z203	769	4.0	85657
Q7Z2B8	147	4.0	16519
Q869E1	1192	4.0	137514
Q869S7	420	4.0	45664
Q869W6	349	4.0	38967
Q869Y7	439	4.0	47633
Q869Z4	653	4.0	72462
Q86A17	231	4.0	24651
Q86A84	654	4.0	73262
Q86AC8	3446	4.0	386918
Q86AE1	527	4.0	58906
Q86AQ7	260	4.0	29561
Q86B14	867	4.0	97772
Q86CR6	124	4.0	14194
Q86CZ2	1213	4.0	137716
Q86HN7	978	4.0	113599
Q86I44	197	4.0	22734
Q86I79	522	4.0	56873
Q86IA3	363	4.0	39905
Q86IH1	740	4.0	84487
Q86II4	362	4.0	42709
Q86IX1	737	4.0	81572
Q86IZ4	261	4.0	31091
Q86JJ0	312	4.0	35264
Q86JP3	201	4.0	22319
Q86K43	349	4.0	40236
Q86KB1	617	4.0	70145
Q86L14	542	4.0	59087
Q8I7C6	700	4.0	78477
Q8MPQ7	389	4.0	44110
Q8SSQ0	1721	4.0	193133
Q8SSY6	1887	4.0	213011
Q8T137	465	4.0	50483
Q8T1E3	379	4.0	42569
Q8T869	658	4.0	72538
Q8T8M2	126	4.0	13315
Q8T9W1	1825	4.0	202642
Q8WQ85	1704	4.0	191191
Q8WSR7	254	4.0	26347
Q94469	335	4.0	36552
Q94490	148	4.0	16809
Q94504	460	4.0	47166
Q95PI2	1225	4.0	137347
Q95ZG3	1335	4.0	154571
Q95ZG4	813	4.0	94434
Q964D8	391	4.0	44089
Q966U0	542	4.0	61952
Q967U1	225	4.0	26226
Q9GPM4	420	4.0	45709
Q9GPQ8	196	4.0	22368
Q9GPS3	193	4.0	21837
Q9NCL8	264	4.0	31157
Q9NI62	156	4.0	17415
Q9NKW1	441	4.0	46387
Q9NKX1	768	4.0	87269
Q9TW32	197	4.0	21399
Q9U9R7	324	4.0	36734
Q9UA41	174	4.0	19016
Q9XYL0	306	4.0	35116
A1XDC0	894	3.0	103525
B0G0Y4	1136	3.0	130199
B0G0Z9	2924	3.0	332524
B0G100	2513	3.0	285227
B0G101	2514	3.0	285291
B0G102	82	3.0	9707
B0G103	2485	3.0	283234
B0G107	514	3.0	60082
B0G132	588	3.0	67193
B0G138	2779	3.0	314195
B0G140	488	3.0	57014
B0G159	472	3.0	53100
B0G170	2690	3.0	305894
B0G172	339	3.0	38012
B0G185	154	3.0	18371
B0G189	685	3.0	76394
B0M0P5	1181	3.0	132254
C0HLF1	154	3.0	17984
C7G054	92	3.0	10403
O00780	233	3.0	26572
O15692	256	3.0	27987
O15746	433	3.0	47111
O21038	169	3.0	19721
O44007	1089	3.0	125000
O76173	201	3.0	22343
O76765	284	3.0	32978
O77033	1390	3.0	160421
O77082	154	3.0	17841
O77257	174	3.0	18579
O96042	151	3.0	16945
O96552	192	3.0	21835
P02889	263	3.0	30364
P07670	370	3.0	40520
P07828	380	3.0	42532
P08798	514	3.0	55447
P0CD61	408	3.0	45452
P0CD62	966	3.0	107219
P0CD65	746	3.0	86441
P0CE95	2492	3.0	268851
P0CG76	381	3.0	42821
P0CG77	229	3.0	25690
P0CG78	533	3.0	59770
P0CG79	381	3.0	42730
P0CG80	305	3.0	34211
P0CG81	381	3.0	42777
P0CG88	305	3.0	34211
P0DJ27	137	3.0	15224
P0DJ29	578	3.0	67797
