wt_0h_a	wt_0h_b	wt_0h_c	wt_2h_a	wt_2h_b	wt_2h_c	wt_4h_a	wt_4h_b	wt_4h_c	wt_8h_a	wt_8h_b	wt_8h_c	wt_10h_a	wt_10h_b	wt_10h_c	GENE_ID	Gene_Name	Synonyms	Gene_products	UniProt_ID
26.26146	26.14579	26.10091	26.21269	26.25226	26.19155	26.43642	26.31201	26.24156	26.59459	26.47507	26.35234	26.59033	26.47139	26.49423	DDB_G0269140	gapA	iqgB, RasGAP, GAPA, DdIQGAP2, IQGAP-related protein	RasGTPase-activating protein GapA	O00899
30.99937	31.15156	31.33707	30.95510	31.04838	31.39811	31.09746	31.21477	31.11943	31.32414	31.17315	31.36261	31.43294	31.26222	31.50530	DDB_G0289173	arfA	ARF1	ADP-ribosylation factor A	O00909
24.72326	24.50317	25.48023	24.84098	23.27830	24.95227	24.51621	24.88856	24.74989	25.16394	24.62105	25.36724	25.04447	24.45665	25.50227	DDB_G0281381	dstA	STATa, Dd-STATa	signal transducer and activator of transcription (STAT) family protein DstA	O00910
27.29074	27.30045	27.41484	27.35353	27.43180	27.97803	27.58768	27.28008	27.56055	27.57155	27.43225	27.73581	27.42161	27.15636	27.57065	DDB_G0285251	rsc43	NA	Protein DRE2	O15692
29.20249	29.03100	29.37544	29.59185	29.54695	29.56602	29.74660	29.89182	29.99737	29.10958	29.20219	29.60786	28.77522	29.15851	29.35575	DDB_G0289485	vacA	NA	vacuolin A, prohibitin domain-containing protein	O15706
21.64548	21.20203	21.48708	21.33232	21.36770	23.93389	22.29303	21.76081	21.64917	22.78738	22.25977	22.16497	22.50869	22.09320	22.72961	DDB_G0275323	tipD	DG1035, apg161, atg16L1	autophagy protein 16	O15736
23.39782	25.01518	24.15874	23.90340	23.87549	23.87181	23.86894	23.55712	23.66098	24.86557	24.57282	24.81324	24.62417	24.50133	24.54416	DDB_G0276155	spnA	Spn, Spalten	protein serine/threonine phosphatase	O15743
23.93188	24.23841	24.23887	24.11134	24.52996	24.50077	24.04332	24.41722	24.12407	25.02215	25.00232	24.01620	24.90826	24.78904	24.89453	DDB_G0276159	rtc1	R2037, orfR2037	RNA 3'-terminal phosphate cyclase	O15746
27.93996	27.82439	27.64033	27.60637	27.67860	27.70524	27.79837	27.57978	27.63829	27.90746	27.70689	27.81728	27.41684	27.95001	27.70503	DDB_G0275619	pppB	PP1, DdPP1c	protein phosphatase 1, catalytic subunit, protein serine/threonine phosphatase, type 1	O15757
27.75796	27.62880	27.56290	27.51927	27.53542	27.46660	27.44963	27.33622	27.22861	27.17569	27.15819	27.15822	26.90293	26.79945	27.14858	DDB_G0292806	cluA	NA	CluA protein	O15818
28.76561	28.66254	28.85837	30.20482	29.04121	29.71604	29.36154	29.68499	29.02891	29.23620	29.26473	29.29681	29.65225	29.03958	29.18991	DDB_G0267402	H3a	DdH3	histone H3	O15819
23.06022	26.17306	25.59583	25.80784	26.22805	26.25158	26.37668	26.05812	26.04443	26.19899	21.06413	25.44484	21.23410	25.80360	25.65686	DDB_G0294042	mrpl16	rpl16	ribosomal protein L16, mitochondrial, ribosomal protein L16	O21032
25.45836	25.67838	25.95656	25.85635	25.69276	25.77532	25.94059	25.82303	25.81772	25.54683	25.56115	25.61511	25.43804	25.73722	25.49935	DDB_G0294066	mrpl14	rpl14	ribosomal protein L14, mitochondrial	O21033
26.18364	25.89472	26.47353	26.79660	26.06209	25.93996	26.50747	26.24816	26.14371	26.23612	25.73641	26.24542	25.50927	25.58778	25.98325	DDB_G0294064	DidioMp30	orf188	unknown	O21034
25.30128	25.45335	25.09749	25.44256	25.32902	25.07949	25.61452	25.04879	25.15159	24.79035	24.75180	25.18892	24.82168	25.21543	24.73539	DDB_G0294062	mrps14	rps14	ribosomal protein S14, ribosomal protein S14, mitochondrial	O21035
26.11235	26.11458	25.83947	26.08720	24.89427	25.95666	26.08829	25.87336	26.07736	25.73486	25.82856	25.99402	25.41713	25.87073	25.79557	DDB_G0294060	mrps8	rps8	ribosomal protein S8, ribosomal protein S8, mitochondrial	O21036
26.31983	26.43817	26.38791	26.47070	26.31306	26.69862	26.24695	26.38363	26.44105	26.03564	26.42022	26.57027	26.00458	26.37294	27.40143	DDB_G0294038	mrpl6	rpl6	ribosomal protein L6, mitochondrial	O21037
25.92366	25.67154	25.99785	26.95832	25.88548	25.74173	26.15047	26.05480	25.65675	25.97273	21.83532	25.87264	26.03403	26.01327	25.82068	DDB_G0294058	mrps13	rps13	ribosomal protein S13, ribosomal protein S13, mitochondrial	O21038
29.31991	29.23327	29.27096	29.36348	29.42351	29.46875	29.43614	29.59238	29.52593	29.47615	29.56921	29.78630	29.34074	29.65027	29.75195	DDB_G0294088	cox1/2	Ddmco, cox1, cox2, cxaA/cxbA	cytochrome-c oxidase subunit I and subunit II, cytochrome oxidase subunit 1, cytochrome oxidase subunit 2	O21042
26.83334	26.81538	26.68940	26.77757	26.70626	27.33631	26.87542	27.03507	26.71284	27.10056	26.96263	27.52842	27.20627	28.00618	27.59125	DDB_G0294048	nad4	NA	NADH dehydrogenase subunit 4	O21047
26.95731	27.05566	26.65727	27.27697	26.85381	26.96996	27.10981	27.18255	26.81938	26.60769	26.90135	26.90609	27.13413	26.70348	26.56844	DDB_G0294020	nad2	NA	NADH dehydrogenase subunit 2	O21048
29.26070	29.11293	28.96722	29.25934	29.06995	29.50017	29.35540	29.01484	29.25733	29.34470	29.54829	29.54651	29.40678	28.22276	29.69703	DDB_G0294092	cox3	NA	cytochrome oxidase subunit 3	O21049
25.03223	24.92392	25.06185	25.20722	25.13149	25.80733	25.46972	25.07199	24.61218	25.63861	25.08299	25.44339	24.79047	24.93091	25.05960	DDB_G0294090	DidioMp05	NA	NA	O21050
31.40926	31.18753	31.67916	31.64628	31.74582	31.55412	31.84166	31.77621	31.92119	32.07824	32.29156	31.97181	32.14872	31.97034	31.91654	DDB_G0279415	limE	crp, DdLim	LIM-type zinc finger-containing protein	O60952
25.44144	25.29341	25.27305	25.21104	25.45447	25.31741	24.98723	25.42193	25.36465	25.75587	25.60462	25.46066	25.90967	25.36691	25.57016	DDB_G0291972	culA	NA	cullin A	O60999
27.39315	27.38978	27.50461	27.45788	27.55097	27.67444	27.61976	27.53911	27.49650	27.83935	27.67668	27.74179	27.72278	27.73737	27.80680	DDB_G0286359	svkA	Hrk-svk	severin kinase	O61122
26.12669	26.00756	26.11375	26.11618	26.23474	26.73837	26.39210	26.33099	26.06669	27.06564	26.96981	26.79548	27.08892	26.80632	26.90943	DDB_G0284181	krsA	Krs1	STE20 family protein kinase KrsA	O61125
26.39105	26.01399	25.88578	26.29285	26.27337	26.30179	26.42391	26.47080	26.72456	26.34078	26.41941	26.62300	26.32591	26.58227	26.46942	DDB_G0269174	rab1C	NA	Rab GTPase	O76173
26.34539	26.42400	26.33091	26.36250	26.34052	26.29284	26.41808	26.43538	26.48575	26.45533	26.57464	26.38307	26.51386	25.89063	26.31505	DDB_G0288771	darA	NA	darlin	O76187
25.22536	24.74965	25.70880	24.09954	24.21943	24.29795	23.54709	23.69589	23.65211	24.81261	24.33913	24.40660	26.20254	24.82689	25.35801	DDB_G0287291	abpD	actnB, interaptin, alpha actinin 2	actin binding protein D	O76329
26.28974	26.47671	26.37023	26.47408	26.47801	26.38345	26.48041	26.62316	26.65754	26.73795	26.78364	26.69826	26.89334	26.89472	26.85474	DDB_G0282189	tupA	TUP1	transcriptional repressor TUP1	O76734
30.96204	30.92348	30.96292	30.77848	30.93576	30.83808	30.89597	30.96500	30.88239	30.16763	30.28193	30.13947	29.84914	29.73044	29.92429	DDB_G0279411	ctsD	catD, cln10, Ddp44	cathepsin D	O76856
25.53779	25.34470	25.76589	25.60962	25.61649	25.65746	25.37741	25.78437	25.74931	25.52982	25.83198	25.67296	25.87778	25.70668	25.63644	DDB_G0269194	trfA	NA	putative transcriptional regulator TrfA	O77033
32.09325	32.03077	32.07085	31.95875	32.00247	31.81677	31.90697	31.97243	31.88205	31.92673	31.76956	31.79974	31.64817	31.60034	31.86158	DDB_G0286117	rps10	NA	40S ribosomal protein S10	O77082
21.41043	21.04563	21.32092	24.94246	24.58654	25.66137	24.46880	25.20199	25.24118	23.99445	25.23847	20.92375	25.04438	24.73199	23.60441	DDB_G0277399	piaA	DG1117, amiA, pia, rictor, Pianissimo, cytosolic regulator of adenylate cyclase	cytosolic regulator of adenylyl cyclase PiaA	O77203
30.13243	30.14594	30.24761	30.31614	30.20166	30.53132	30.39715	30.44149	30.57334	30.31000	30.29392	30.51211	29.55949	30.07742	30.22268	DDB_G0274595	catA	cat, acrA	catalase A	O77229
28.75246	28.74322	28.60224	28.45863	29.00801	29.01551	29.07074	29.24275	28.94089	28.99737	28.88506	29.25715	28.94037	29.55574	29.80459	DDB_G0278725	p17	gp17, sctA	Sct family protein A	O77257
24.82554	25.40111	23.55962	25.50737	25.55986	25.05646	25.96691	25.85931	25.11862	29.01228	28.80218	28.34043	29.37487	28.69318	28.74286	DDB_G0291253	dia2	NA	unknown	O96042
26.36240	26.59381	26.46399	26.59201	26.44558	26.36607	26.79725	26.73531	26.75143	26.38486	26.78167	26.71505	26.24578	26.24001	26.36512	DDB_G0267394	vps46	DG1118	SNF7 family protein	O96552
29.69509	29.76441	29.82460	29.85844	29.82422	29.84324	29.87031	29.79120	29.74358	30.05900	29.91050	29.93434	29.94692	29.93958	29.97838	DDB_G0272106	arpB	ARP2, poly P kinase component, polyphosphate kinase component	actin-related protein 2	O96621
29.82087	29.60863	29.35994	29.50717	29.42227	29.74542	29.63475	29.50374	29.43589	29.74469	29.86083	29.81654	29.76618	29.70571	29.72576	DDB_G0277825	arcA	arpD, Arc40, ARPC1, p41-Arc, actin-related protein 2/3 complex, 41 kDa subunit	actin-related protein 2/3 complex, subunit 1	O96622
29.90090	29.86587	29.73475	30.03486	29.91664	30.12493	30.30964	30.07542	30.00937	30.37084	30.17264	30.15842	30.15536	30.20398	30.28144	DDB_G0282813	arcB	arpE, Arc35, ARPC2, p34-Arc	actin-related protein 2/3 complex, subunit 2	O96623
29.73246	29.82768	29.52326	29.85121	29.62697	29.80070	29.87499	29.89394	29.94929	30.00122	29.77766	29.94185	29.86955	29.88004	30.00459	DDB_G0292804	arcC	Arc18, ARPC3, p21-Arc, actin-related protein 2/3 complex, 21 kDa subunit	actin-related protein 2/3 complex, subunit 3	O96624
29.33587	29.31075	29.32627	29.39158	29.42679	29.40399	29.55778	29.43434	29.49100	29.72608	29.58913	29.54640	29.65866	29.67325	29.63064	DDB_G0269102	arcD	arpG, Arc19, ARPC4, p20-Arc	actin-related protein 2/3 complex, subunit 4	O96625
29.76270	29.67512	29.90496	29.76023	29.92543	29.91761	29.81601	29.81111	29.90949	29.95362	29.84564	29.89629	29.72222	29.64511	29.87274	DDB_G0288319	arcE	Arc15, ARPC5, p16-Arc, actin-related protein 2/3 complex, 16 kDa subunit	actin-related protein 2/3 complex, subunit 5	O96626
28.94969	28.98025	28.87988	29.06459	29.01848	29.12668	29.10058	29.05704	29.05187	28.80353	28.77185	28.86101	28.00644	28.36152	28.48212	DDB_G0286183	agps	eapA, alkyl-DHAP, ADPS	alkyl-dihydroxyacetonephosphate synthase, alkyldihydroxyacetonephosphate synthase	O96759
24.90009	24.89418	25.10075	25.18472	25.35856	25.35003	25.66006	25.41257	25.16842	25.93618	25.87026	25.56097	25.78951	25.61258	25.67874	DDB_G0291125	gnrA	GRP125	gelsolin-related protein	O96923
21.73528	21.56543	21.14152	21.07349	21.39860	21.32665	23.90512	21.50404	21.00344	27.54875	27.36906	26.85854	28.32171	27.31319	27.67220	DDB_G0275439	cad2	DdCAD2	putative adhesion molecule	O97113
33.22720	33.29870	33.16664	33.25272	33.14198	32.90731	33.15483	33.22353	33.23723	32.98416	32.91111	33.22283	32.93887	32.99650	33.12672	DDB_G0267454	ancA	slc25a4, ANT	ADP/ATP translocase, transmembrane protein, mitochondrial substrate carrier family protein	O97470
30.17294	30.19255	30.24478	30.22388	30.37969	30.13186	30.01553	30.12331	30.26572	30.25926	30.45694	30.32047	30.47938	30.25419	30.39537	DDB_G0279407	calA	DdCaM, CaM	calmodulin	P02599
32.40477	32.73039	32.55759	32.53440	32.56260	32.54921	32.74938	32.59107	32.57703	32.60961	32.43951	32.78524	32.75294	32.84741	33.08231	DDB_G0273063	dscA-1	dscA, discoidin I, A chain	discoidin I, alpha chain	P02886
35.09256	35.06578	34.83746	34.86056	34.92742	34.75969	35.13793	34.84753	34.79193	35.10737	34.90156	34.94919	34.92383	35.02115	34.92617	DDB_G0273065	dscC-1	dscC, dscB, discoidin I, C chain and B chain, discoidin I, beta chain, discoidin I, gamma chain, discoidin I, subunit B/C, discoidin IC	discoidin I, beta/gamma chain	P02887
29.71242	29.64340	29.18907	29.64277	29.55362	29.43026	30.26237	29.51102	29.54091	30.42530	30.12443	30.20066	30.13953	30.01881	30.30526	DDB_G0273067	dscD-1	dscD, discoidin I, D chain	discoidin I, delta chain	P02888
28.05032	27.84778	28.02181	27.87313	27.89862	28.09291	28.22912	28.00608	28.01483	28.70927	28.41222	28.44233	28.52824	28.60462	28.54971	DDB_G0273979	psmD8-2	psmD8	26S proteasome regulatory subunit S14, 26S proteasome non-ATPase regulatory subunit 8	P02889
20.99901	21.26616	21.05962	21.35500	20.86860	21.48818	21.31800	24.56564	21.45411	25.49841	25.06408	25.56088	26.85212	25.90770	26.39217	DDB_G0292996	rasD	ras, Dd-ras, Ddras, rasA, 12E2	Ras GTPase RasD	P03967
21.28622	21.04241	21.14739	21.55570	21.10602	21.65665	20.83485	21.17130	21.71016	27.47183	26.99550	26.96779	28.25840	27.56741	27.57780	DDB_G0279799	cprB	CP2, pst-cath, 16G1	cysteine proteinase 2	P04989
31.24004	31.26278	31.42428	31.36237	31.43721	31.42809	31.32772	31.43188	31.35926	31.43043	31.33319	31.36076	31.34343	31.16881	31.37788	DDB_G0268632	abpA	actnA, alpha actinin 1	actin binding protein A	P05095
21.02601	21.41007	21.65252	20.86664	21.05278	21.49840	21.48099	20.98895	21.52351	23.51835	21.49199	21.34296	26.20218	24.51006	25.36439	DDB_G0275695	ampA	D11, pegA, prestalk D11 protein precursor	adhesion modulation protein A	P05817
24.31841	24.41855	24.95111	24.48858	24.50743	24.99140	25.33296	25.57163	25.08141	27.13814	26.58075	26.62143	27.33535	26.59655	27.08020	DDB_G0279413	pkaR	PKA, rdeC, cAK	cAMP-dependent protein kinase A, regulatory subunit	P05987
27.62032	27.70447	27.63450	27.65162	27.63776	27.62300	27.74099	27.41316	27.57068	27.48155	27.24611	27.48795	27.24264	27.27003	27.42041	DDB_G0276331	pyr4	NA	dihydroorotate oxidase, dihydroorotate dehydrogenase	P07670
21.54493	23.47966	27.13621	24.87588	25.10199	23.94581	24.86203	24.86191	23.92933	25.73564	20.63432	22.89648	22.65192	24.00099	25.86812	DDB_G0289487	act3	actin3, actin3-sub1, act3-1	actin	P07829
36.08278	36.22168	36.14847	36.26752	36.26950	36.00729	35.79079	36.36394	36.23852	35.92380	35.89781	35.90944	36.28082	35.46573	36.12773	DDB_G0274599	act13	actin13	actin	P07830
21.04643	21.88334	21.27475	25.57978	25.05861	25.29215	26.83966	27.02502	26.41885	28.81013	28.71814	28.47263	28.20987	28.62548	28.25493	DDB_G0289073	csaA	csA, gp80	contact site A protein	P08796
31.01311	31.05145	31.14581	31.33117	31.22815	31.35572	31.34842	31.46357	31.31993	31.74779	31.65594	31.63808	31.88868	31.53309	31.83107	DDB_G0286355	mhcA	MHC	myosin II heavy chain	P08799
28.31232	28.36148	28.39872	28.36076	28.43346	28.41568	28.43661	28.27315	28.19978	28.70106	28.35544	28.44288	28.84935	28.51521	28.67721	DDB_G0289875	uppA	UDPGP, UDPGP1, UTP-glucose-1-phosphate uridylyltransferase, uridine diphosphate glucose pyrophosphorylase	UDP-glucose pyrophosphorylase 1	P08800
29.94989	30.21990	30.36506	30.24458	30.21834	30.14463	30.13248	30.29622	30.35103	30.53254	30.57045	30.54201	30.73415	30.55054	30.69933	DDB_G0277859	mlcE	EMLC	essential myosin light chain (ELC)	P09402
28.02883	28.21544	28.25257	28.04317	28.10112	28.40128	28.05304	27.93096	27.96326	27.99233	27.95659	27.86528	27.92386	27.82399	28.06502	DDB_G0280041	pyr56	pyr5-6, pyr5/6	bifunctional UMP-synthetase, uridine 5'-monophosphate synthase, orotate phosphoribosyltransferase (OPRtase), orotidine 5'-phosphate decarboxylase (OMPdecase), UMP synthase	P09556
26.62993	26.42802	26.55159	26.71454	26.59865	26.71320	26.90323	26.83566	26.83639	27.28756	26.97370	27.07217	26.86057	27.15590	27.10812	DDB_G0295755	glnA2	putative glutamate-ammonia ligase	putative glutamine synthetase type I GlnA2	P0C7B6
26.09818	25.88220	25.68102	26.01342	25.75479	25.77457	25.97460	25.73592	26.11768	25.70766	26.04676	25.93054	25.75927	26.10660	25.65510	DDB_G0295825	mrpl34	rpl34	ribosomal protein L34, mitochondrial	P0C7W4
26.59866	26.50645	26.54208	26.11219	26.31515	26.43642	26.54416	26.13236	26.37500	26.24852	26.46143	26.14854	26.16045	26.35218	26.40347	DDB_G0281707	DDB_G0281707	NA	putative transmembrane protein	P0C7W5
24.98587	24.67029	24.69151	24.61486	24.67850	24.30978	24.75977	24.49407	24.53538	24.66028	24.49972	24.47504	24.05168	24.75171	24.24469	DDB_G0304543	psmG4	NA	proteasome assembly chaperone 4	P0C8Z5
24.28527	24.13007	24.10160	23.81138	24.17968	23.80095	24.36499	24.06605	23.75657	24.10544	24.10296	24.38211	23.94026	24.18613	23.93993	DDB_G0284701	DDB_G0284701	NA	mandelate racemase/muconate lactonizing enzyme domain-containing protein	P0CC06
24.01894	23.81056	24.12812	24.21705	23.84518	23.86406	23.46517	23.62892	24.08105	21.49702	21.35558	21.53259	21.16601	21.57489	21.16620	DDB_G0289313	frmC	NA	FERM domain-containing protein FrmC	P0CD60
23.61149	22.69403	23.81345	21.47248	23.51607	21.07806	23.10283	23.38746	23.18621	23.04657	23.10627	23.67524	20.82638	23.14574	23.61781	DDB_G0290751	alg7	NA	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase, GlcNAc phosphotransferase	P0CD61
22.94247	21.05825	21.44667	21.08219	21.26919	23.22452	21.46566	23.24169	23.26856	21.74802	21.33159	22.37324	23.25639	21.53544	21.64591	DDB_G0279129	pan3	NA	polyA specific ribonuclease subunit	P0CD65
21.16988	21.49926	21.54681	23.18049	23.36856	23.85208	22.99008	24.45748	24.79634	21.42452	24.29394	24.91900	21.51794	24.64996	23.53731	DDB_G0279721	ubqH	NA	ubiquitin H	P0CG81
33.99277	33.98303	34.07229	33.97125	33.87097	33.58844	33.89291	33.92925	33.87336	33.87985	33.68486	33.79939	33.82231	33.58235	33.88670	DDB_G0269134	efaAI	EF1-I, efaA1, ABP-50, ABP50	elongation factor 1 alpha, elongation factor 1a	P0CT31
30.82910	30.67740	30.52512	30.69427	30.64064	30.50379	30.78000	30.61533	30.61928	30.73237	30.82839	30.64130	30.83457	30.78306	30.73156	DDB_G0277833	cofA	DCOF1	cofilin	P0DJ26
30.65072	30.42871	30.45530	30.89834	30.87085	30.91932	30.98077	30.92301	30.88552	30.99290	30.96895	30.96622	30.87728	30.90510	31.04338	DDB_G0289327	sevA	NA	severin	P10733
32.30175	32.35443	32.32336	32.23361	32.28431	32.18095	32.16565	32.26268	32.21411	32.11793	32.18603	32.12067	32.03482	31.86476	31.98692	DDB_G0267418	sahA	SAHH, S-adenosyl-L-homocysteine hydrolase, AdoHyc hydrolase	adenosylhomocysteinase	P10819
20.97230	21.75818	22.17996	21.07303	21.38588	21.16502	21.75593	21.38122	21.60850	21.53555	23.84786	23.92696	24.56158	24.15680	25.07847	DDB_G0274391	alfA	A11H2, ALF	alpha-L-fucosidase	P10901
20.87360	21.46572	21.93895	21.22383	21.47486	21.43108	21.11374	21.34365	21.48635	25.37002	24.99523	24.64614	25.40314	24.58425	24.51376	DDB_G0290961	trafD	DG17, zfaA, DdTRAFd	TNF receptor-associated factor D	P11467
27.05559	27.00155	27.34566	26.98276	26.90368	27.77889	27.69255	27.59140	27.68795	28.69167	28.56473	28.49228	28.63744	28.36542	28.54215	DDB_G0271666	prtB	M3R	proteosomal alpha-subunit 7-1	P11872
32.39316	32.28846	32.24865	32.22530	32.21904	32.24169	32.23608	32.26374	32.16760	32.05240	32.01118	32.12898	32.04281	31.70136	32.00977	DDB_G0276441	rpl7	NA	S60 ribosomal protein L7	P11874
21.67537	21.35707	21.48362	21.33715	21.70420	21.52590	23.49933	23.23280	22.62595	23.31341	23.60793	23.40776	20.96272	23.35373	22.46057	DDB_G0285995	pdsA	PDE, pde1, pdeA, DdPDE1, extracellular cAMP phosphodiesterase	cAMP/cGMP phosphodiesterase A	P12019
29.41028	29.32892	29.25493	29.53303	29.42267	29.44362	29.44484	29.47194	29.55214	29.54172	29.69549	29.44101	29.62009	29.56855	29.41952	DDB_G0267374	acpA	cap32, cap-beta	F-actin-capping protein subunit beta	P13021
29.63779	29.50900	29.43453	29.63215	29.70380	29.63956	29.60536	29.60174	29.56464	29.58887	29.65639	29.55880	29.64551	29.38603	29.65487	DDB_G0272104	acpB	cap34, cap-alpha	F-actin-capping protein subunit alpha	P13022
32.00289	32.05073	31.78246	31.93099	31.97465	32.07049	32.24851	31.95344	31.92738	31.92673	31.98725	31.96493	32.04254	31.48263	31.98839	DDB_G0274113	rpl8	rpl12, V1, rpgA	60S ribosomal protein L8	P13023
30.47677	30.88645	31.26108	30.53502	30.39025	32.25361	31.85116	31.11078	31.32195	31.88288	31.47295	30.57846	32.14446	30.94364	31.47631	DDB_G0282141	hatA	hsI	actin binding protein, hisactophilin I	P13231
30.21844	30.14086	29.96776	30.43240	30.39219	30.73168	30.64171	30.60745	30.37308	31.19487	31.10386	31.01431	31.44043	30.98999	31.18964	DDB_G0269100	abpC	gelA, ddFLN, FLN, ABP120, ABP-120, gelation factor, filamin	actin binding protein C	P13466
31.70828	31.84615	31.76270	31.68148	31.71632	32.09002	31.92956	31.72552	31.76931	31.99433	31.88226	32.00630	31.68418	31.83286	31.99282	DDB_G0284861	eif5a	eifE	eukaryotic translation initiation factor 5A	P13651
28.43514	28.40713	28.49434	28.36831	28.24240	27.82462	28.00084	28.19549	28.00097	27.45507	27.19856	27.14575	27.14227	26.14509	26.65904	DDB_G0287033	nagA	beta-hexosaminidase, N-acetylglucosaminidase, beta-N-acetylglucosaminidase	beta-N-acetylhexosaminidase	P13723
22.34034	21.57309	22.70837	25.77695	25.30305	25.30228	26.80250	26.62260	25.95154	27.59654	27.90860	26.85497	26.72033	26.73747	26.24875	DDB_G0273533	carA-2	carA, carA2, cAR1, G-protein-coupled receptor	cAMP receptor 1	P13773
29.84558	29.85925	29.86932	30.06483	30.06217	30.49766	30.28661	30.17039	30.25312	30.74900	30.80792	30.64864	30.87024	30.41442	30.84658	DDB_G0276077	mlcR	RMLC, putative calmodulin-binding protein	Regulatory myosin light chain (RLC)	P13833
31.67117	31.61023	31.54494	31.63779	31.61668	31.51911	31.77064	31.69641	31.57083	31.58612	31.44935	31.47329	31.51088	31.06853	31.49936	DDB_G0289877	rps9	rp1024, V12	ribosomal protein 1024, 40S ribosomal protein S9	P14132
25.84874	25.07733	25.63001	25.53552	25.90751	26.64733	24.14640	26.15624	26.18654	25.81727	25.73102	25.79250	26.18301	25.35930	26.16924	DDB_G0284871	DDB_G0284871	AAC11	HMG-I and HMG-Y, DNA-binding domain-containing protein	P14196
21.16709	22.78809	21.28211	22.85315	21.27494	22.53722	22.30886	21.04060	22.93399	21.95605	22.67079	22.98929	21.67449	22.82504	22.47617	DDB_G0276031	DDB_G0276031	AAC3	WD40 repeat-containing protein	P14197
29.58399	29.68639	29.46243	29.41720	29.49432	29.22685	29.32438	29.39946	29.48144	29.15000	29.20216	29.26440	29.19941	29.12253	29.25882	DDB_G0289481	glnS	vspH4, H4, cinA, GlnRS	glutamine-tRNA ligase, glutaminyl-tRNA synthetase, vegetative specific protein H4	P14325
