wt_0h_a	wt_0h_b	wt_0h_c	wt_2h_a	wt_2h_b	wt_2h_c	wt_4h_a	wt_4h_b	wt_4h_c	wt_8h_a	wt_8h_b	wt_8h_c	wt_10h_a	wt_10h_b	wt_10h_c	GENE_ID	Gene_Name	Synonyms	Gene_products	UniProt_ID
1.839486e-05	1.749498e-05	1.807175e-05	2.250150e-05	1.700079e-05	1.960233e-05	1.416372e-05	1.534176e-05	1.456401e-05	1.294941e-05	1.745044e-05	1.598697e-05	1.744456e-05	2.049919e-05	1.444828e-05	DDB_G0350235	tstD	TSPOON	sigma-like TSET complex subunit	C0HLF1
1.067980e-04	1.089712e-04	1.071934e-04	1.062638e-04	1.077015e-04	1.015187e-04	9.934559e-05	9.521201e-05	9.968455e-05	1.018415e-04	9.683003e-05	9.963176e-05	9.367724e-05	1.055260e-04	9.332196e-05	DDB_G0286969	DDB_G0286969	NA	type A von Willebrand factor (VWFA) domain-containing protein, MIF4G-like, type 3 domain-containing protein, putative eukaryotic translation initiation factor 4 gamma (eIF4G)	C7G046
1.245527e-03	1.295128e-03	1.340112e-03	1.374235e-03	1.444850e-03	1.438029e-03	1.375489e-03	1.465162e-03	1.468238e-03	1.118696e-03	1.125555e-03	1.113499e-03	1.099194e-03	8.394292e-04	1.148855e-03	DDB_G0275701	vatE	V-ATPase subunit E	vacuolar ATPase subunit E	O00780
2.260947e-04	2.617640e-04	2.251458e-04	2.248483e-04	2.538219e-04	2.956300e-04	2.675053e-04	2.562670e-04	2.768071e-04	2.374662e-04	2.690526e-04	2.356087e-04	2.505428e-04	1.661395e-04	2.430042e-04	DDB_G0269104	calB	NA	calmodulin-like protein	O00897
7.353995e-05	6.696130e-05	6.520805e-05	6.977721e-05	7.342253e-05	7.104943e-05	8.175803e-05	7.409485e-05	7.211469e-05	9.005286e-05	8.541750e-05	7.642472e-05	9.027354e-05	9.310557e-05	8.383074e-05	DDB_G0269140	gapA	iqgB, RasGAP, GAPA, DdIQGAP2, IQGAP-related protein	RasGTPase-activating protein GapA	O00899
1.962342e-03	2.151350e-03	2.457790e-03	1.867763e-03	2.039890e-03	2.623563e-03	2.068441e-03	2.216479e-03	2.120348e-03	2.389111e-03	2.217220e-03	2.463070e-03	2.590177e-03	2.577261e-03	2.703255e-03	DDB_G0289173	arfA	ARF1	ADP-ribosylation factor A	O00909
2.532093e-05	2.144598e-05	4.240910e-05	2.696433e-05	9.345026e-06	3.009535e-05	2.160171e-05	2.762385e-05	2.564399e-05	3.340641e-05	2.362819e-05	3.860906e-05	3.091775e-05	2.303975e-05	4.214978e-05	DDB_G0281381	dstA	STATa, Dd-STATa	signal transducer and activator of transcription (STAT) family protein DstA	O00910
1.500949e-04	1.490770e-04	1.621187e-04	1.538657e-04	1.663059e-04	2.451000e-04	1.815905e-04	1.449456e-04	1.799199e-04	1.772525e-04	1.658388e-04	1.993880e-04	1.606194e-04	1.496821e-04	1.767822e-04	DDB_G0285251	rsc43	NA	Protein DRE2	O15692
5.647558e-04	4.947202e-04	6.310054e-04	7.260113e-04	7.204929e-04	7.368475e-04	8.109497e-04	8.859632e-04	9.741670e-04	5.147374e-04	5.655767e-04	7.298664e-04	4.104655e-04	5.996246e-04	6.092666e-04	DDB_G0289485	vacA	NA	vacuolin A, prohibitin domain-containing protein	O15706
2.998985e-06	2.175734e-06	2.663186e-06	2.369071e-06	2.485604e-06	1.485715e-05	4.626423e-06	3.160377e-06	2.989338e-06	6.432994e-06	4.598506e-06	4.194777e-06	5.331658e-06	4.477200e-06	6.167943e-06	DDB_G0275323	tipD	DG1035, apg161, atg16L1	autophagy protein 16	O15736
1.010372e-05	3.058288e-05	1.696883e-05	1.407825e-05	1.413682e-05	1.423140e-05	1.379241e-05	1.097697e-05	1.205565e-05	2.716517e-05	2.285137e-05	2.629773e-05	2.310395e-05	2.376445e-05	2.169570e-05	DDB_G0276155	spnA	Spn, Spalten	protein serine/threonine phosphatase	O15743
1.463013e-05	1.785031e-05	1.793794e-05	1.626089e-05	2.225192e-05	2.200815e-05	1.556443e-05	1.992494e-05	1.661859e-05	3.027944e-05	3.077541e-05	1.513510e-05	2.813238e-05	2.900935e-05	2.765969e-05	DDB_G0276159	rtc1	R2037, orfR2037	RNA 3'-terminal phosphate cyclase	O15746
2.353976e-04	2.143550e-04	1.895461e-04	1.833382e-04	1.973344e-04	2.028730e-04	2.101438e-04	1.784118e-04	1.898812e-04	2.237240e-04	2.006146e-04	2.109722e-04	1.600892e-04	2.594677e-04	1.940405e-04	DDB_G0275619	pppB	PP1, DdPP1c	protein phosphatase 1, catalytic subunit, protein serine/threonine phosphatase, type 1	O15757
2.074987e-04	1.871785e-04	1.796404e-04	1.725981e-04	1.786893e-04	1.719447e-04	1.650200e-04	1.506969e-04	1.429401e-04	1.347187e-04	1.371467e-04	1.336071e-04	1.121143e-04	1.168776e-04	1.319420e-04	DDB_G0292806	cluA	NA	CluA protein	O15818
4.172026e-04	3.832141e-04	4.409421e-04	1.110364e-03	5.074437e-04	8.175952e-04	6.209801e-04	7.676328e-04	4.978506e-04	5.619582e-04	5.906325e-04	5.883133e-04	7.538545e-04	5.521769e-04	5.431050e-04	DDB_G0267402	H3a	DdH3	histone H3	O15819
7.995623e-06	6.823901e-05	4.594720e-05	5.270401e-05	7.220094e-05	7.406821e-05	7.844144e-05	6.213797e-05	6.290433e-05	6.845587e-05	2.007662e-06	4.074265e-05	2.203799e-06	5.860722e-05	4.691691e-05	DDB_G0294042	mrpl16	rpl16	ribosomal protein L16, mitochondrial, ribosomal protein L16	O21032
4.214696e-05	4.843050e-05	5.899973e-05	5.450604e-05	4.982014e-05	5.324291e-05	5.797898e-05	5.279452e-05	5.375714e-05	4.356029e-05	4.533456e-05	4.584633e-05	4.061486e-05	5.597155e-05	4.206447e-05	DDB_G0294066	mrpl14	rpl14	ribosomal protein L14, mitochondrial	O21033
6.967830e-05	5.626584e-05	8.442541e-05	1.045897e-04	6.435534e-05	5.967921e-05	8.588486e-05	7.088711e-05	6.738578e-05	7.024059e-05	5.119018e-05	7.096572e-05	4.267056e-05	5.046383e-05	5.882785e-05	DDB_G0294064	DidioMp30	orf188	unknown	O21034
3.779883e-05	4.143617e-05	3.252688e-05	4.091498e-05	3.871742e-05	3.286977e-05	4.625027e-05	3.086884e-05	3.387738e-05	2.578513e-05	2.586961e-05	3.412017e-05	2.649376e-05	3.898452e-05	2.477092e-05	DDB_G0294062	mrps14	rps14	ribosomal protein S14, ribosomal protein S14, mitochondrial	O21035
6.631851e-05	6.552819e-05	5.440039e-05	6.396429e-05	2.864407e-05	6.037394e-05	6.422919e-05	5.466868e-05	6.435684e-05	4.962437e-05	5.456672e-05	5.961678e-05	4.003039e-05	6.139835e-05	5.165208e-05	DDB_G0294060	mrps8	rps8	ribosomal protein S8, ribosomal protein S8, mitochondrial	O21036
7.657601e-05	8.200486e-05	7.956073e-05	8.344154e-05	7.658320e-05	1.009721e-04	7.169580e-05	7.786588e-05	8.280873e-05	6.112773e-05	8.223085e-05	8.888688e-05	6.014943e-05	8.696363e-05	1.572172e-04	DDB_G0294038	mrpl6	rpl6	ribosomal protein L6, mitochondrial	O21037
5.818832e-05	4.820159e-05	6.071263e-05	1.169963e-04	5.694007e-05	5.201754e-05	6.705790e-05	6.199536e-05	4.808151e-05	5.851953e-05	3.426444e-06	5.480614e-05	6.139001e-05	6.777460e-05	5.255881e-05	DDB_G0294058	mrps13	rps13	ribosomal protein S13, ribosomal protein S13, mitochondrial	O21038
6.126451e-04	5.691770e-04	5.869255e-04	6.197242e-04	6.614123e-04	6.888015e-04	6.539351e-04	7.199055e-04	7.026154e-04	6.636422e-04	7.294173e-04	8.259615e-04	6.074573e-04	8.431658e-04	8.018204e-04	DDB_G0294088	cox1/2	Ddmco, cox1, cox2, cxaA/cxbA	cytochrome-c oxidase subunit I and subunit II, cytochrome oxidase subunit 1, cytochrome oxidase subunit 2	O21042
1.093139e-04	1.065104e-04	9.805175e-05	1.032196e-04	1.005770e-04	1.570969e-04	1.108363e-04	1.223062e-04	9.997504e-05	1.278825e-04	1.197612e-04	1.726915e-04	1.383492e-04	2.697683e-04	1.793249e-04	DDB_G0294048	nad4	NA	NADH dehydrogenase subunit 4	O21047
1.191224e-04	1.258121e-04	9.589240e-05	1.459133e-04	1.114077e-04	1.218669e-04	1.303891e-04	1.354706e-04	1.076376e-04	9.087450e-05	1.147814e-04	1.121836e-04	1.316008e-04	1.093553e-04	8.825601e-05	DDB_G0294020	nad2	NA	NADH dehydrogenase subunit 2	O21048
5.880076e-04	5.236292e-04	4.754975e-04	5.765661e-04	5.176524e-04	7.039693e-04	6.183424e-04	4.824122e-04	5.832566e-04	6.058507e-04	7.189180e-04	6.994779e-04	6.359112e-04	3.134653e-04	7.718682e-04	DDB_G0294092	cox3	NA	cytochrome oxidase subunit 3	O21049
3.136804e-05	2.870807e-05	3.173322e-05	3.475671e-05	3.376341e-05	5.443731e-05	4.183350e-05	3.136913e-05	2.330947e-05	4.642153e-05	3.254537e-05	4.070187e-05	2.592676e-05	3.200684e-05	3.101262e-05	DDB_G0294090	DidioMp05	NA	NA	O21050
2.607146e-03	2.205666e-03	3.115471e-03	3.015709e-03	3.307944e-03	2.923169e-03	3.464721e-03	3.270946e-03	3.696246e-03	4.029413e-03	4.813777e-03	3.757178e-03	4.254052e-03	4.210412e-03	3.594871e-03	DDB_G0279415	limE	crp, DdLim	LIM-type zinc finger-containing protein	O60952
4.165555e-05	3.708791e-05	3.673595e-05	3.484876e-05	4.223488e-05	3.876297e-05	2.994198e-05	3.998036e-05	3.926874e-05	5.035225e-05	4.672129e-05	4.119203e-05	5.631964e-05	4.330051e-05	4.418072e-05	DDB_G0291972	culA	NA	cullin A	O60999
1.611368e-04	1.585993e-04	1.725268e-04	1.654075e-04	1.806270e-04	1.985883e-04	1.856740e-04	1.734525e-04	1.721071e-04	2.134074e-04	1.964574e-04	2.002172e-04	1.979063e-04	2.239101e-04	2.082229e-04	DDB_G0286359	svkA	Hrk-svk	severin kinase	O61122
6.698110e-05	6.084355e-05	6.579113e-05	6.526212e-05	7.253640e-05	1.037932e-04	7.928436e-05	7.507600e-05	6.388247e-05	1.248239e-04	1.203591e-04	1.039040e-04	1.275409e-04	1.174352e-04	1.117871e-04	DDB_G0284181	krsA	Krs1	STE20 family protein kinase KrsA	O61125
8.045160e-05	6.111498e-05	5.617488e-05	7.376409e-05	7.450470e-05	7.669116e-05	8.105223e-05	8.271534e-05	1.007910e-04	7.552544e-05	8.218459e-05	9.219554e-05	7.515557e-05	1.005431e-04	8.240144e-05	DDB_G0269174	rab1C	NA	Rab GTPase	O76173
7.794494e-05	8.120333e-05	7.647850e-05	7.741258e-05	7.805481e-05	7.621676e-05	8.072487e-05	8.070962e-05	8.541461e-05	8.176698e-05	9.152099e-05	7.806988e-05	8.561301e-05	6.225132e-05	7.403982e-05	DDB_G0288771	darA	NA	darlin	O76187
3.586130e-05	2.544165e-05	4.968949e-05	1.612851e-05	1.794264e-05	1.912179e-05	1.103455e-05	1.208527e-05	1.198176e-05	2.618603e-05	1.943411e-05	1.983852e-05	6.899565e-05	2.978046e-05	3.813879e-05	DDB_G0287291	abpD	actnB, interaptin, alpha actinin 2	actin binding protein D	O76329
7.499568e-05	8.422525e-05	7.859152e-05	8.363765e-05	8.585943e-05	8.115704e-05	8.428924e-05	9.192890e-05	9.621556e-05	9.946106e-05	1.057881e-04	9.713277e-05	1.113714e-04	1.248563e-04	1.076286e-04	DDB_G0282189	tupA	TUP1	transcriptional repressor TUP1	O76734
1.912217e-03	1.836762e-03	1.896330e-03	1.652549e-03	1.886708e-03	1.779525e-03	1.798825e-03	1.864128e-03	1.799089e-03	1.071743e-03	1.195433e-03	1.055056e-03	8.640866e-04	8.913480e-04	9.035574e-04	DDB_G0279411	ctsD	catD, cln10, Ddp44	cathepsin D	O76856
4.453250e-05	3.843031e-05	5.169542e-05	4.593816e-05	4.725454e-05	4.906611e-05	3.924055e-05	5.139876e-05	5.126746e-05	4.304981e-05	5.469614e-05	4.772227e-05	5.508849e-05	5.479929e-05	4.625753e-05	DDB_G0269194	trfA	NA	putative transcriptional regulator TrfA	O77033
4.188591e-03	3.957116e-03	4.087257e-03	3.744988e-03	3.951997e-03	3.506858e-03	3.625167e-03	3.747500e-03	3.597325e-03	3.627701e-03	3.352343e-03	3.334771e-03	3.006902e-03	3.257930e-03	3.460492e-03	DDB_G0286117	rps10	NA	40S ribosomal protein S10	O77082
2.548103e-06	1.952199e-06	2.373458e-06	2.892937e-05	2.314188e-05	4.919944e-05	2.090341e-05	3.432704e-05	3.604783e-05	1.485178e-05	3.624865e-05	1.774460e-06	3.091588e-05	2.788451e-05	1.131050e-05	DDB_G0277399	piaA	DG1117, amiA, pia, rictor, Pianissimo, cytosolic regulator of adenylate cyclase	cytosolic regulator of adenylyl cyclase PiaA	O77203
1.075971e-03	1.071497e-03	1.155004e-03	1.199437e-03	1.134275e-03	1.438672e-03	1.273001e-03	1.296831e-03	1.452180e-03	1.182899e-03	1.205411e-03	1.365999e-03	7.069128e-04	1.133698e-03	1.111167e-03	DDB_G0274595	catA	cat, acrA	catalase A	O77229
4.134182e-04	4.052546e-04	3.692146e-04	3.309869e-04	4.958980e-04	5.031010e-04	5.076196e-04	5.649717e-04	4.683855e-04	4.762215e-04	4.539696e-04	5.723600e-04	4.602473e-04	7.896921e-04	8.316143e-04	DDB_G0278725	p17	gp17, sctA	Sct family protein A	O77257
2.718120e-05	3.996254e-05	1.120203e-05	4.279500e-05	4.543560e-05	3.234910e-05	5.904627e-05	5.413918e-05	3.311192e-05	4.811664e-04	4.286243e-04	3.031856e-04	6.219973e-04	4.343096e-04	3.983904e-04	DDB_G0291253	dia2	NA	unknown	O96042
7.886927e-05	9.134632e-05	8.386887e-05	9.076118e-05	8.395071e-05	8.018533e-05	1.049908e-04	9.936057e-05	1.026854e-04	7.786878e-05	1.056434e-04	9.827005e-05	7.109496e-05	7.930903e-05	7.665474e-05	DDB_G0267394	vps46	DG1118	SNF7 family protein	O96552
7.945983e-04	8.225026e-04	8.614769e-04	8.733617e-04	8.731667e-04	8.929501e-04	8.835571e-04	8.262788e-04	8.170259e-04	9.940090e-04	9.240908e-04	9.152187e-04	9.246813e-04	1.030398e-03	9.380759e-04	DDB_G0272106	arpB	ARP2, poly P kinase component, polyphosphate kinase component	actin-related protein 2	O96621
8.669880e-04	7.383201e-04	6.242654e-04	6.846253e-04	6.608447e-04	8.344108e-04	7.504505e-04	6.770050e-04	6.601060e-04	7.994152e-04	8.928139e-04	8.434585e-04	8.158019e-04	8.761947e-04	7.873923e-04	DDB_G0277825	arcA	arpD, Arc40, ARPC1, p41-Arc, actin-related protein 2/3 complex, 41 kDa subunit	actin-related protein 2/3 complex, subunit 1	O96622
9.164381e-04	8.824294e-04	8.094654e-04	9.869638e-04	9.309340e-04	1.085492e-03	1.198082e-03	1.006201e-03	9.823091e-04	1.233857e-03	1.108225e-03	1.069003e-03	1.068412e-03	1.237641e-03	1.157356e-03	DDB_G0282813	arcB	arpE, Arc35, ARPC2, p34-Arc	actin-related protein 2/3 complex, subunit 2	O96623
8.154512e-04	8.593782e-04	6.990903e-04	8.689989e-04	7.615880e-04	8.670066e-04	8.864273e-04	8.872683e-04	9.422411e-04	9.549849e-04	8.428043e-04	9.199911e-04	8.763989e-04	9.887350e-04	9.552771e-04	DDB_G0292804	arcC	Arc18, ARPC3, p21-Arc, actin-related protein 2/3 complex, 21 kDa subunit	actin-related protein 2/3 complex, subunit 3	O96624
6.194587e-04	6.005818e-04	6.098633e-04	6.319123e-04	6.629173e-04	6.585687e-04	7.114630e-04	6.452129e-04	6.858084e-04	7.891714e-04	7.395559e-04	6.994253e-04	7.572152e-04	8.567028e-04	7.371533e-04	DDB_G0269102	arcD	arpG, Arc19, ARPC4, p20-Arc	actin-related protein 2/3 complex, subunit 4	O96625
8.327226e-04	7.731389e-04	9.108252e-04	8.158866e-04	9.366254e-04	9.401894e-04	8.509198e-04	8.377645e-04	9.165995e-04	9.239880e-04	8.834663e-04	8.913941e-04	7.913176e-04	8.401554e-04	8.718416e-04	DDB_G0288319	arcE	Arc15, ARPC5, p16-Arc, actin-related protein 2/3 complex, 16 kDa subunit	actin-related protein 2/3 complex, subunit 5	O96626
4.739799e-04	4.776198e-04	4.475658e-04	5.037589e-04	4.995118e-04	5.434042e-04	5.182300e-04	4.967326e-04	5.058385e-04	4.163471e-04	4.197066e-04	4.349284e-04	2.409077e-04	3.451114e-04	3.325217e-04	DDB_G0286183	agps	eapA, alkyl-DHAP, ADPS	alkyl-dihydroxyacetonephosphate synthase, alkyldihydroxyacetonephosphate synthase	O96759
2.862271e-05	2.812233e-05	3.260041e-05	3.421882e-05	3.951857e-05	3.964932e-05	4.773342e-05	3.972169e-05	3.427477e-05	5.705537e-05	5.616694e-05	4.415788e-05	5.181900e-05	5.133904e-05	4.763413e-05	DDB_G0291125	gnrA	GRP125	gelsolin-related protein	O96923
3.191581e-06	2.798968e-06	2.095935e-06	1.979986e-06	2.539416e-06	2.438260e-06	1.414266e-05	2.645109e-06	1.910693e-06	1.744738e-04	1.587319e-04	1.085466e-04	2.997474e-04	1.668713e-04	1.896740e-04	DDB_G0275439	cad2	DdCAD2	putative adhesion molecule	O97113
9.192200e-03	9.529420e-03	8.735741e-03	9.182827e-03	8.706493e-03	7.468000e-03	8.609416e-03	8.919925e-03	9.203016e-03	7.550072e-03	7.395859e-03	8.942466e-03	7.356315e-03	8.574899e-03	8.317317e-03	DDB_G0267454	ancA	slc25a4, ANT	ADP/ATP translocase, transmembrane protein, mitochondrial substrate carrier family protein	O97470
1.106614e-03	1.106673e-03	1.152742e-03	1.125130e-03	1.283245e-03	1.090713e-03	9.771249e-04	1.040162e-03	1.173321e-03	1.142024e-03	1.349609e-03	1.196080e-03	1.337459e-03	1.281475e-03	1.252461e-03	DDB_G0279407	calA	DdCaM, CaM	calmodulin	P02599
5.198075e-03	6.426658e-03	5.727386e-03	5.581342e-03	5.826821e-03	5.826468e-03	6.500078e-03	5.754010e-03	5.823595e-03	5.823701e-03	5.333632e-03	6.602814e-03	6.466804e-03	7.733005e-03	8.065205e-03	DDB_G0273063	dscA-1	dscA, discoidin I, A chain	discoidin I, alpha chain	P02886
3.349261e-02	3.243472e-02	2.781412e-02	2.798864e-02	3.001336e-02	2.696655e-02	3.403660e-02	2.749369e-02	2.703594e-02	3.289287e-02	2.938819e-02	2.958994e-02	2.912008e-02	3.489054e-02	2.895147e-02	DDB_G0273065	dscC-1	dscC, dscB, discoidin I, C chain and B chain, discoidin I, beta chain, discoidin I, gamma chain, discoidin I, subunit B/C, discoidin IC	discoidin I, beta/gamma chain	P02887
8.042025e-04	7.563288e-04	5.545359e-04	7.520947e-04	7.238313e-04	6.706697e-04	1.159455e-03	6.804322e-04	7.099464e-04	1.281322e-03	1.071801e-03	1.100760e-03	1.056757e-03	1.088562e-03	1.176626e-03	DDB_G0273067	dscD-1	dscD, discoidin I, D chain	discoidin I, delta chain	P02888
2.541118e-04	2.178582e-04	2.469164e-04	2.205748e-04	2.298442e-04	2.654149e-04	2.832599e-04	2.397463e-04	2.465070e-04	3.900141e-04	3.271046e-04	3.253753e-04	3.458819e-04	4.084531e-04	3.484689e-04	DDB_G0273979	psmD8-2	psmD8	26S proteasome regulatory subunit S14, 26S proteasome non-ATPase regulatory subunit 8	P02889
1.915877e-06	2.274628e-06	1.980264e-06	2.406599e-06	1.758687e-06	2.727127e-06	2.353598e-06	2.208401e-05	2.611303e-06	4.212260e-05	3.212162e-05	4.415523e-05	1.082346e-04	6.299230e-05	7.810522e-05	DDB_G0292996	rasD	ras, Dd-ras, Ddras, rasA, 12E2	Ras GTPase RasD	P03967
2.337902e-06	1.947846e-06	2.104474e-06	2.765797e-06	2.073277e-06	3.064907e-06	1.683797e-06	2.100289e-06	3.118423e-06	1.654145e-04	1.225211e-04	1.170854e-04	2.868796e-04	1.990263e-04	1.776601e-04	DDB_G0279799	cprB	CP2, pst-cath, 16G1	cysteine proteinase 2	P04989
2.318596e-03	2.323758e-03	2.610940e-03	2.476976e-03	2.670882e-03	2.678642e-03	2.426376e-03	2.576445e-03	2.503836e-03	2.571762e-03	2.477355e-03	2.459913e-03	2.434358e-03	2.415680e-03	2.474740e-03	DDB_G0268632	abpA	actnA, alpha actinin 1	actin binding protein A	P05095
1.952075e-06	2.513220e-06	2.986778e-06	1.715506e-06	1.998169e-06	2.746505e-06	2.635088e-06	1.850914e-06	2.739980e-06	1.067724e-05	2.700786e-06	2.372797e-06	6.897853e-05	2.390874e-05	3.830803e-05	DDB_G0275695	ampA	D11, pegA, prestalk D11 protein precursor	adhesion modulation protein A	P05817
1.912523e-05	2.022436e-05	2.938854e-05	2.112056e-05	2.190703e-05	3.092285e-05	3.804994e-05	4.435157e-05	3.226892e-05	1.312574e-04	9.190966e-05	9.209528e-05	1.512975e-04	1.015433e-04	1.258339e-04	DDB_G0279413	pkaR	PKA, rdeC, cAK	cAMP-dependent protein kinase A, regulatory subunit	P05987
1.886165e-04	1.972580e-04	1.887811e-04	1.891802e-04	1.918261e-04	1.916322e-04	2.019502e-04	1.589517e-04	1.811870e-04	1.665331e-04	1.457646e-04	1.679143e-04	1.418811e-04	1.619534e-04	1.592989e-04	DDB_G0276331	pyr4	NA	dihydroorotate oxidase, dihydroorotate dehydrogenase	P07670
2.797082e-06	1.054972e-05	1.336469e-04	2.762445e-05	3.307989e-05	1.498043e-05	2.745305e-05	2.711827e-05	1.452021e-05	4.965124e-05	1.490409e-06	6.964918e-06	5.888156e-06	1.680006e-05	5.431579e-05	DDB_G0289487	act3	actin3, actin3-sub1, act3-1	actin	P07829
6.653258e-02	7.227185e-02	6.901091e-02	7.422012e-02	7.608850e-02	6.403103e-02	5.351509e-02	7.865377e-02	7.369007e-02	5.792544e-02	5.862385e-02	5.757155e-02	7.459113e-02	4.748329e-02	6.658505e-02	DDB_G0274599	act13	actin13	actin	P07830
1.979900e-06	3.488982e-06	2.298706e-06	4.499772e-05	3.210009e-05	3.809025e-05	1.081229e-04	1.214574e-04	8.154404e-05	4.182554e-04	4.043697e-04	3.322814e-04	2.773900e-04	4.144003e-04	2.840706e-04	DDB_G0289073	csaA	csA, gp80	contact site A protein	P08796
1.981123e-03	2.007133e-03	2.152620e-03	2.423996e-03	2.310593e-03	2.547597e-03	2.461442e-03	2.633668e-03	2.436498e-03	3.204549e-03	3.098441e-03	2.981270e-03	3.552396e-03	3.109564e-03	3.388081e-03	DDB_G0286355	mhcA	MHC	myosin II heavy chain	P08799
3.047156e-04	3.110384e-04	3.206349e-04	3.092770e-04	3.329947e-04	3.319636e-04	3.270751e-04	2.885016e-04	2.802254e-04	3.878023e-04	3.144807e-04	3.254991e-04	4.321067e-04	3.839060e-04	3.806677e-04	DDB_G0289875	uppA	UDPGP, UDPGP1, UTP-glucose-1-phosphate uridylyltransferase, uridine diphosphate glucose pyrophosphorylase	UDP-glucose pyrophosphorylase 1	P08800
9.480937e-04	1.127859e-03	1.252963e-03	1.141391e-03	1.147469e-03	1.100414e-03	1.059630e-03	1.172613e-03	1.244792e-03	1.380193e-03	1.460090e-03	1.394600e-03	1.595779e-03	1.573699e-03	1.546194e-03	DDB_G0277859	mlcE	EMLC	essential myosin light chain (ELC)	P09402
2.503547e-04	2.810935e-04	2.897461e-04	2.481676e-04	2.644794e-04	3.286664e-04	2.507153e-04	2.275822e-04	2.378514e-04	2.372799e-04	2.385226e-04	2.181088e-04	2.275052e-04	2.377646e-04	2.490350e-04	DDB_G0280041	pyr56	pyr5-6, pyr5/6	bifunctional UMP-synthetase, uridine 5'-monophosphate synthase, orotate phosphoribosyltransferase (OPRtase), orotidine 5'-phosphate decarboxylase (OMPdecase), UMP synthase	P09556
9.493882e-05	8.143013e-05	8.911903e-05	9.880710e-05	9.334757e-05	1.019981e-04	1.129933e-04	1.065174e-04	1.089143e-04	1.455811e-04	1.206841e-04	1.258711e-04	1.088700e-04	1.496348e-04	1.282931e-04	DDB_G0295755	glnA2	putative glutamate-ammonia ligase	putative glutamine synthetase type I GlnA2	P0C7B6
