# Program:featureCounts v2.0.1; Command:"featureCounts" "-O" "-T" "8" "-a" "reference/D_discoideum_PASAua.gtf" "-o" "featureCounts_output.txt" "star_map/SRR1593424.bam" "star_map/SRR1593425.bam" "star_map/SRR1593426.bam" "star_map/SRR1593427.bam" "star_map/SRR1593428.bam" "star_map/SRR1593429.bam" "star_map/SRR1593430.bam" "star_map/SRR1593431.bam" "star_map/SRR1593432.bam" "star_map/SRR1593433.bam" "star_map/SRR1593434.bam" "star_map/SRR1593443.bam" "star_map/SRR1593444.bam" "star_map/SRR1593445.bam" "star_map/SRR1593446.bam" "star_map/SRR1593447.bam" "star_map/SRR1593448.bam" "star_map/SRR1593449.bam" "star_map/SRR1593450.bam" "star_map/SRR1593451.bam" "star_map/SRR1593452.bam" "star_map/SRR1593453.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map/SRR1593424.bam	star_map/SRR1593425.bam	star_map/SRR1593426.bam	star_map/SRR1593427.bam	star_map/SRR1593428.bam	star_map/SRR1593429.bam	star_map/SRR1593430.bam	star_map/SRR1593431.bam	star_map/SRR1593432.bam	star_map/SRR1593433.bam	star_map/SRR1593434.bam	star_map/SRR1593443.bam	star_map/SRR1593444.bam	star_map/SRR1593445.bam	star_map/SRR1593446.bam	star_map/SRR1593447.bam	star_map/SRR1593448.bam	star_map/SRR1593449.bam	star_map/SRR1593450.bam	star_map/SRR1593451.bam	star_map/SRR1593452.bam	star_map/SRR1593453.bam
DDB_G0277953	3	56536	59868	+	3333	132	69	116	171	194	197	194	237	355	342	285	56	58	102	110	179	192	310	134	106	252	116
DDB_G0277955	3;3;3	60113;60505;61469	60401;61351;61614	-;-;-	1282	24	9	28	20	18	12	17	15	33	21	14	49	5	24	32	14	13	5	18	22	25	14
DDB_G0277957	3;3	62430;62807	62611;64198	+;+	1574	731	554	723	733	713	697	878	1349	2057	1845	1405	297	515	529	517	726	1260	3535	1311	657	1465	848
DDB_G0277959	3	64751	66786	+	2036	134	133	157	172	203	121	60	58	81	54	91	100	142	210	216	123	37	15	51	56	82	156
DDB_G0277961	3	66831	68282	-	1452	2	0	0	1	1	0	0	1	1	0	0	2	0	1	1	1	0	0	0	1	0	0
DDB_G0277963	3;3;3;3	68721;69268;69505;69867	69195;69378;69672;70426	-;-;-;-	1314	18	3	7	4	9	5	10	25	51	52	30	12	14	11	13	20	21	24	47	17	52	25
DDB_G0277967	3;3;3;3	72018;72567;72760;73123	72503;72664;73015;75437	+;+;+;+	3155	60	23	67	61	31	11	13	14	21	26	18	98	7	112	75	32	17	29	24	37	49	24
DDB_G0277859	3;3	76833;77162	76887;77624	+;+	518	1719	3198	5971	4508	3199	1923	2687	3020	4013	2680	3617	2585	7022	7841	7378	4966	3912	2231	4651	2809	5888	5622
DDB_G0277969	3	78242	79471	+	1230	5	9	6	2	6	1	3	2	6	5	6	3	3	1	2	2	5	2	11	4	7	8
DDB_G0295697	3;3	79918;80332	80221;80564	+;+	537	119	34	74	76	73	84	82	131	235	159	141	269	215	150	244	222	237	210	219	198	274	260
DDB_G0277971	3;3	80768;81135	80911;81314	-;-	324	1248	558	867	775	649	601	733	633	703	499	595	2455	2842	1781	2686	2834	1591	1335	1214	1328	1314	1233
DDB_G0277973	3	83008	83922	+	915	19	39	30	29	12	17	43	37	36	18	23	16	1	25	23	15	30	0	2	15	14	19
DDB_G0277839	3;3	84465;84776	84632;84801	-;-	194	57	51	12	1	2	1	0	0	0	1	2	37	70	25	17	6	1	1	2	12	10	26
DDB_G0277837	3	85494	85655	-	162	605	370	508	520	426	330	482	642	973	538	564	1257	688	746	922	999	423	134	680	701	713	647
DDB_G0277975	3;3;3;3;3	86901;86901;87201;87396;87396	86924;87316;87316;87857;87857	+;+;+;+;+	878	16832	11986	13619	12999	12853	12591	13996	14782	12795	8442	5085	16273	34054	20697	21144	25895	27678	22164	17681	9964	10161	7404
DDB_G0277977	3;3;3	88344;88821;89940	88721;89845;91113	+;+;+	2577	142	39	89	95	118	79	102	114	167	123	83	109	36	82	117	84	73	48	78	76	106	63
DDB_G0277979	3;3	91596;92256	91835;92285	-;-	270	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DDB_G0277897	3;3	93233;93926	93842;93933	-;-	618	39	283	104	81	49	26	54	99	127	141	332	37	190	66	69	37	102	23	33	67	364	395
DDB_G0277895	3;3;3;3;3	94751;94894;94986;95151;95320	94800;94902;95059;95206;95592	+;+;+;+;+	462	1047	779	537	694	599	554	727	1348	1864	2890	3790	782	1730	820	727	1070	2297	4733	1532	1459	5880	7612
DDB_G0277893	3;3;3	95812;96271;96526	96190;96438;96656	+;+;+	678	13	20	23	15	18	10	7	10	26	3	23	28	22	37	36	8	8	6	8	16	30	15
DDB_G0277891	3	96837	97960	-	1124	25	9	7	2	7	6	5	6	11	11	9	18	0	5	8	1	8	2	3	11	7	7
DDB_G0277983	3;3	98599;99334	99213;99531	-;-	813	132	5	31	40	39	30	40	25	27	27	12	166	26	47	92	52	21	21	29	57	46	28
DDB_G0277985	3;3	99770;100053	99944;100324	-;-	447	8	2	7	8	7	4	2	2	4	1	1	5	2	12	11	1	2	1	2	4	8	4
DDB_G0277883	3;3	102264;106009	104346;108452	+;+	4527	6	5	12	15	11	6	6	3	4	4	25	11	1	12	7	11	6	10	10	5	8	5
DDB_G0278581	3;3;3;3;3;3;3;3	109650;109847;110046;110456;110866;110968;111349;111904	109750;109902;110303;110578;110875;111219;111807;112841	+;+;+;+;+;+;+;+	2197	854	7037	18568	9111	4491	1815	2726	3267	2947	2024	4089	491	4271	7778	4883	3389	3585	2794	1736	1010	4575	5134
DDB_G0277875	3	113053	113951	-	899	77	46	43	51	57	41	45	54	80	81	59	116	75	68	94	83	74	62	78	62	72	46
DDB_G0277987	3;3;3;3;3;3	114291;114291;116265;117462;117871;117871	116117;116117;117725;117725;118239;118379	-;-;-;-;-;-	3797	391	598	874	748	614	506	697	1296	2059	1415	1667	197	466	575	502	637	889	1498	965	485	1309	915
DDB_G0277989	3;3;3;3;3;3;3;3;3;3;3;3;3	119542;119799;120097;120304;120544;121870;122219;122658;123240;123525;123849;124132;124777	119724;120034;120191;120443;121782;122136;122555;123157;123439;123750;124052;124704;124962	+;+;+;+;+;+;+;+;+;+;+;+;+	4386	52	98	168	214	174	106	118	215	172	110	273	23	46	159	210	72	108	98	40	62	202	131
DDB_G0277991	3;3;3	125527;126068;126341	126002;126221;126542	+;+;+	832	490	134	213	184	183	188	300	345	596	394	312	478	301	399	578	355	247	73	423	348	480	334
DDB_G0277993	3;3;3	126827;127029;127216	126921;127125;128657	+;+;+	1634	292	389	668	586	561	354	383	370	514	310	306	288	533	932	977	633	286	88	372	291	440	331
DDB_G0277997	3;3;3;3	130346;131006;131354;131770	130907;131260;131582;140572	+;+;+;+	9849	64	78	89	113	104	94	67	119	236	150	166	57	12	34	72	39	67	25	25	43	119	47
DDB_G0277879	3;3;3;3	140892;141844;142300;143226	141625;142177;142751;143385	-;-;-;-	1680	1129	259	511	438	382	342	726	1095	3392	3038	1687	1163	388	701	953	726	933	584	1631	1062	1535	1264
DDB_G0277999	3;3	144920;146040	145969;146199	-;-	1210	39	11	8	5	8	8	15	3	20	17	11	50	2	10	18	6	3	0	9	18	13	7
DDB_G0278001	3	146547	146946	-	400	2	0	0	0	0	0	0	0	0	1	1	4	1	1	1	0	0	0	0	0	0	0
DDB_G0278003	3	147338	148477	-	1140	60	43	103	111	136	90	85	96	204	234	283	38	33	161	168	73	55	16	62	75	325	235
DDB_G0278005	3;3	151970;152155	152055;153142	-;-	1074	4	1	0	0	1	1	4	1	3	2	1	0	0	3	4	3	1	0	1	2	1	3
DDB_G0278007	3	153492	153810	-	319	21	62	43	25	22	19	24	39	64	35	41	49	96	62	71	84	41	23	54	46	101	94
DDB_G0278009	3;3;3	154173;154468;154637	154371;154553;155011	+;+;+	660	5	16	11	8	3	3	6	5	9	3	20	4	25	18	14	8	6	3	10	3	36	40
DDB_G0278011	3;3;3	155490;155800;155975	155676;155882;156262	+;+;+	558	3	1	7	4	1	2	2	0	1	1	5	2	2	5	6	2	6	3	1	3	3	0
DDB_G0294575	3;3;3	156515;157925;161541	157856;161455;161593	+;+;+	4926	13	26	78	113	89	28	33	44	50	24	46	10	6	33	72	12	34	5	4	10	26	9
DDB_G0278013	3;3	162083;163154	162661;163183	-;-	609	370	1854	1218	1501	1180	848	1004	1141	1764	1384	2162	2092	6401	3901	4866	4641	6379	5694	2806	2325	4161	3190
DDB_G0278015	3;3;3;3;3	164340;164623;164990;166022;166656	164507;164912;165920;166562;167062	-;-;-;-;-	2337	122	102	196	180	158	152	195	292	452	307	234	78	63	124	153	178	287	455	148	127	239	95
DDB_G0278017	3	167304	167864	-	561	9	2	31	10	8	3	9	23	16	78	5	4	2	24	19	16	14	11	26	7	8	50
DDB_G0304475	3	168637	170015	+	1379	155	86	49	111	113	103	94	81	123	107	62	159	109	61	167	95	105	146	90	91	121	139
DDB_G0278021	3;3;3	170689;171450;172267	171211;172159;172423	+;+;+	1390	80	57	102	102	136	156	142	205	233	163	108	29	39	70	78	127	273	666	154	75	169	132
DDB_G0278023	3;3	172931;173190	172975;173395	-;-	251	54	13	20	24	20	18	15	11	13	15	14	135	35	15	41	27	19	5	11	44	20	22
DDB_G0278025	3;3;3	174077;174462;175053	174136;174944;175312	+;+;+	803	805	1831	4377	3597	2647	1532	1433	821	624	397	315	860	4240	4666	4765	4135	2972	4186	873	594	911	995
DDB_G0278027	3;3;3	175913;176074;176460	175926;176351;176563	+;+;+	396	177	26	43	43	57	38	71	44	118	91	84	175	159	68	98	85	81	67	125	103	118	82
DDB_G0278029	3	176737	178182	-	1446	9	3	15	7	7	3	2	7	3	2	2	23	1	5	2	0	5	1	0	0	2	1
DDB_G0278031	3;3	178451;179198	179115;179330	-;-	798	25	21	58	43	27	16	10	11	15	14	23	31	12	111	169	19	63	4	9	14	47	20
DDB_G0277909	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3	179890;179890;180127;180127;180510;180920;180920;181151;181151;181501;181501;181725;181725;182201;182201;182494;182494	180037;180037;180488;180827;180827;180973;180973;181300;181300;181563;181563;181790;181790;182332;182332;182605;182605	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1426	1116	7016	5881	2034	1531	1530	1052	779	632	612	407	74	975	1158	343	303	319	1655	527	218	589	394
DDB_G0295721	3;3	183263;183728	183627;183902	-;-	540	75	34	35	52	57	41	33	46	49	17	22	110	22	73	134	26	17	1	15	50	49	27
DDB_G0278039	3;3;3	186142;186449;186942	186299;186692;187065	+;+;+	526	91	37	53	59	90	57	63	55	67	23	22	123	52	117	230	98	53	12	43	55	65	53
DDB_G0277855	3;3	187914;189355	189265;189878	-;-	1876	1921	8022	22828	13023	7645	3114	3437	3193	4534	3601	5927	1552	7132	14472	10370	5528	2562	940	3610	2370	7354	6612
DDB_G0278045	3;3	190215;190789	190224;191792	+;+	1014	2	13	43	20	13	2	2	1	3	2	4	0	12	29	18	7	4	3	3	3	5	6
DDB_G0278047	3;3	191956;193095	193009;193274	-;-	1234	100	27	58	71	57	56	58	106	212	132	119	123	63	127	150	105	68	19	127	98	120	90
DDB_G0278049	3;3	193790;194164	194060;194236	+;+	344	7	10	14	11	16	7	11	14	16	24	23	26	21	26	35	33	24	5	19	39	44	22
DDB_G0278051	3;3	194560;197496	197409;197654	-;-	3009	211	276	400	215	252	150	77	56	75	60	82	144	217	256	272	168	66	81	47	73	115	60
DDB_G0278053	3;3	198473;200264	200134;200553	-;-	1952	847	740	1201	968	938	579	331	268	319	265	321	712	1142	1445	1440	672	275	161	291	384	519	486
DDB_G0294617	3;3;3	200971;201578;201758	201484;201653;201929	-;-;-	762	18	11	6	4	9	1	9	3	6	5	2	30	15	10	16	8	8	2	14	14	7	5
DDB_G0277913	3;3;3;3;3	202953;202953;203116;203116;203315	202981;202981;205644;203206;205646	+;+;+;+;+	2560	354	1113	762	525	506	334	375	296	426	348	498	290	1070	518	613	468	476	478	388	273	531	493
DDB_G0278057	3;3	206243;206592	206335;207086	+;+	588	25	35	27	47	55	48	75	92	190	132	131	37	68	66	119	64	101	79	119	85	151	155
DDB_G0278059	3;3;3;3	207383;208094;208975;209485	208003;208885;209372;209554	-;-;-;-	1881	27	9	13	12	14	6	17	30	71	33	29	25	1	22	14	9	19	6	12	20	26	14
DDB_G0278061	3;3;3;3;3	209901;210359;210747;211021;211224	210204;210667;210916;211090;211414	-;-;-;-;-	1044	70	42	71	63	77	40	75	119	249	186	121	110	53	72	159	100	139	80	109	114	178	82
DDB_G0278063	3;3	211823;212362	212270;214784	+;+	2871	294	180	181	202	216	235	492	808	1493	900	562	238	226	190	284	291	665	433	670	297	499	219
DDB_G0278065	3	214953	215198	-	246	0	0	0	1	0	1	1	0	12	7	5	1	0	2	0	3	2	0	1	0	3	5
DDB_G0278067	3	216614	217203	+	590	1	1	0	0	0	1	0	0	24	21	16	0	0	1	0	0	6	0	0	6	16	4
DDB_G0278069	3;3;3	221612;222033;222385	221948;222310;224267	+;+;+	2498	1	16	9	4	2	5	12	490	1645	1058	706	2	3	8	7	12	52	930	558	259	729	518
DDB_G0278591	3	225002	227174	+	2173	213	194	299	181	314	254	158	179	195	194	233	65	119	194	143	152	160	464	119	106	238	156
DDB_G0278071	3;3	227597;228616	228501;228670	-;-	960	1	1	1	1	0	1	0	0	1	0	5	0	0	2	0	0	0	0	0	0	0	1
DDB_G0278073	3	229027	232659	-	3633	67	19	37	60	31	19	12	16	30	23	23	103	4	52	54	28	32	26	20	48	39	11
DDB_G0278075	3;3;3;3;3	233703;233956;234096;234293;234641	233815;234020;234174;234502;234872	+;+;+;+;+	699	62	24	45	52	62	41	59	73	114	87	87	106	65	58	98	73	124	128	75	52	108	95
DDB_G0278077	3;3	235235;237421	237296;238123	-;-	2765	607	1255	3170	1565	1578	1395	1374	2249	3907	3466	3127	445	1488	2366	2028	2359	2421	2973	2165	1370	2944	2004
DDB_G0278593	3	240388	242531	+	2144	65	18	53	39	42	14	20	34	50	36	58	47	25	38	52	34	32	17	32	34	44	36
DDB_G0278079	3	242964	245120	+	2157	44	18	14	24	15	21	16	24	37	28	66	33	22	22	21	19	5	2	10	12	27	54
DDB_G0277863	3;3;3	246720;246880;247397	246777;247308;247623	+;+;+	714	117	100	2295	1458	1931	1189	300	198	675	612	511	195	30	7036	4912	1328	120	27	596	558	2155	3170
DDB_G0278083	3;3;3;3;3;3;3	249248;249248;249872;250018;250018;251916;251916	249927;249784;249927;251835;251835;252103;252103	-;-;-;-;-;-;-	2686	3	8	3	5	5	5	14	40	149	125	127	3	0	4	2	3	6	33	32	23	126	34
DDB_G0277849	3;3	252336;254800	254716;255048	-;-	2630	1181	1259	1041	1340	1419	1247	1002	1080	1945	1320	1141	857	1347	990	1370	1323	1155	966	1122	674	1146	898
DDB_G0278093	3	259686	262139	-	2454	5	4	7	6	5	3	11	10	22	14	12	4	0	1	4	2	11	11	2	4	11	8
DDB_G0278095	3;3	262493;263657	263447;263798	-;-	1097	2459	1182	1425	1279	1343	1197	1544	1217	1043	796	515	2539	2719	2095	2619	2281	1645	342	1079	1062	915	677
DDB_G0278097	3;3	264255;266399	266199;270651	+;+	6198	86	25	40	63	76	56	61	50	66	46	87	82	28	20	60	62	65	36	56	42	57	48
DDB_G0278101	3;3;3	272535;272858;273104	272723;272985;273185	-;-;-	399	63	109	108	103	89	43	40	45	46	20	22	154	263	253	273	142	70	28	60	67	61	64
DDB_G0277885	3	273541	275042	-	1502	5437	1366	1812	1677	1753	1558	2209	4515	7975	5986	3919	3313	1490	2236	2526	2363	3674	3639	5311	2431	3900	2618
DDB_G0277889	3;3	276805;276993	276895;278197	+;+	1296	136	207	246	289	322	348	446	457	706	532	425	106	302	329	492	335	334	118	538	288	619	551
DDB_G0278103	3	278702	279958	+	1257	93	25	58	53	70	46	30	37	39	15	22	72	52	86	78	74	49	85	41	26	26	31
DDB_G0278105	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3	280163;280163;280163;280528;280528;280528;280807;280807;280807;281592;281592;281592;281947;281947;282421;282421;282598;282598	280355;280355;280355;280714;280714;280714;281483;281483;281483;281806;281806;281806;282344;282056;282518;282518;282800;282800	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1971	228	157	392	348	371	314	466	590	750	468	255	150	216	411	518	467	640	643	429	212	364	257
DDB_G0278107	3	283147	283879	+	733	115	30	46	54	73	53	93	156	268	159	96	129	70	116	145	115	118	30	194	100	140	90
DDB_G0295723	3;3	283984;284353	284255;286462	-;-	2382	151	179	272	219	258	201	190	213	318	318	328	137	179	225	265	218	219	310	212	177	311	198
DDB_G0278597	3;3	287397;288166	288081;288384	-;-	904	587	188	253	204	220	240	322	352	450	275	188	832	509	377	552	447	460	206	383	356	354	295
DDB_G0277827	3;3;3;3	292726;292921;293261;293503	292801;293178;293355;293637	-;-;-;-	564	99	82	69	241	572	616	1955	1977	1464	314	536	109	77	241	797	976	1643	229	879	178	419	1229
DDB_G0278111	3;3;3	294243;294628;294805	294501;294727;294885	-;-;-	440	79	32	49	55	64	35	62	127	287	139	149	151	145	120	127	155	173	152	291	146	207	150
DDB_G0278113	3	295249	295926	-	678	483	266	301	334	330	255	225	167	224	184	133	838	487	601	842	537	265	57	235	328	350	311
DDB_G0278115	3;3	296602;296930	296801;297542	+;+	813	429	59	36	28	41	54	37	22	33	13	36	604	106	56	51	11	19	2	24	165	53	35
DDB_G0278601	3;3;3;3;3;3	297893;298139;298987;299166;299703;300161	298057;298908;299092;299600;300066;302250	+;+;+;+;+;+	3930	48	14	46	72	70	49	43	38	71	93	76	57	16	52	68	46	37	37	33	34	65	29
DDB_G0277921	3;3;3;3	302308;302863;303098;303364	302753;302992;303264;303637	-;-;-;-	1017	0	8	13	7	10	9	25	23	57	11	23	1	2	14	19	23	28	20	22	23	41	21
DDB_G0277825	3;3;3	304397;305518;305965	305350;305603;306034	-;-;-	1110	4548	8782	18465	12683	9543	5643	5552	4748	5750	5004	4518	1066	6449	9910	5967	5087	4559	3231	5232	2349	5470	4629
DDB_G0278117	3;3;3	306850;306994;307192	306854;307086;307279	+;+;+	186	209	76	115	102	125	95	137	319	949	671	487	680	358	232	319	246	304	126	830	652	619	364
DDB_G0278119	3;3	307396;308874	308791;309084	-;-	1607	32	20	31	32	35	23	22	37	41	33	38	10	7	31	42	30	14	9	17	18	34	21
DDB_G0277881	3;3;3;3	309381;309644;310051;310217	309525;309882;310086;310367	-;-;-;-	571	362	1879	2288	936	571	312	373	311	331	291	377	434	3276	1988	1319	880	582	233	495	371	718	746
DDB_G0278603	3;3	311161;311297	311235;311727	+;+	506	3	147	34	18	9	0	1	1	5	3	11	7	121	15	11	6	4	2	1	2	9	3
DDB_G0295725	3	312000	313085	-	1086	324	73	36	78	125	122	630	1729	2692	1844	1175	329	122	103	199	382	1629	3676	1992	805	1530	1067
DDB_G0278607	3;3	313759;314237	313955;315215	+;+	1176	1977	675	385	559	677	568	546	589	632	465	317	1463	1486	577	881	884	1028	1502	772	670	645	456
DDB_G0278609	3;3	316046;316564	316465;317868	+;+	1725	161	343	393	197	142	55	45	33	93	46	57	58	527	361	229	80	18	8	36	30	72	90
DDB_G0278611	3	318473	321122	+	2650	0	1	2	1	0	0	2	18	81	65	35	0	0	0	0	0	3	0	6	7	25	1
DDB_G0278121	3;3	321235;323703	323606;325786	-;-	4456	35	17	29	34	28	22	29	51	67	52	33	26	8	31	36	24	28	18	11	13	33	16
DDB_G0278123	3;3	326427;326722	326608;326761	-;-	222	105	34	117	154	154	131	155	149	230	155	172	134	89	126	294	303	302	417	169	154	205	208
DDB_G0278125	3	327348	329843	-	2496	241	96	121	164	274	205	185	137	223	132	123	100	78	200	195	214	128	159	154	83	183	113
DDB_G0277877	3	330250	331303	+	1054	311	106	255	284	329	197	181	138	171	82	80	169	152	333	358	284	179	212	174	158	195	180
DDB_G0277915	3;3;3	332007;332247;332483	332024;332349;334877	+;+;+	2516	399	189	424	338	434	298	152	153	232	159	135	280	449	555	546	408	197	295	184	155	268	304
DDB_G0278127	3;3	335016;335394	335227;335431	-;-	250	22	11	63	12	3	2	4	10	11	206	24	24	10	103	23	35	15	3	115	13	4	294
DDB_G0278133	3;3;3	338162;338485;339636	338411;339556;339830	-;-;-	1517	28	3	3	5	9	2	4	6	8	2	6	15	5	8	5	3	2	0	1	5	5	8
DDB_G0278141	3;3	343671;346535	346448;346656	-;-	2900	733	618	758	783	864	838	625	370	467	489	522	461	600	679	845	701	480	302	342	308	493	365
DDB_G0278143	3;3;3;3	347156;348399;349185;352896	348397;349089;352894;353709	+;+;+;+	6457	428	585	731	761	901	924	900	878	1363	965	1042	255	340	548	763	761	534	353	499	319	697	563
DDB_G0278147	3;3	354814;357996	357894;358214	+;+	3300	259	699	590	418	425	266	186	183	228	170	317	93	394	358	278	215	151	201	144	122	308	261
DDB_G0278613	3;3;3	358498;358770;359727	358694;359724;361472	-;-;-	2898	84	69	99	61	92	61	73	81	81	39	34	54	48	67	146	97	55	11	34	30	55	26
DDB_G0277861	3;3	364618;364978	364838;368104	+;+	3348	1221	2740	12696	5166	5208	4665	4539	3049	2717	3265	4519	481	5473	5837	3331	2972	1689	1594	1480	952	4207	3180
DDB_G0278617	3;3;3;3	368973;370460;371131;371419	370378;371128;371417;372183	+;+;+;+	3127	85	53	114	147	133	183	206	353	587	482	377	32	48	93	115	166	293	435	238	182	408	245
DDB_G0278151	3	372461	373942	-	1482	145	23	47	83	104	97	107	131	222	135	88	169	15	102	162	126	112	42	164	91	115	165
DDB_G0278153	3;3	374402;375290	375185;375493	-;-	988	116	54	79	74	88	81	87	133	211	154	110	102	41	84	130	89	75	20	99	91	150	123
DDB_G0278155	3;3	376096;376393	376289;376929	+;+	731	390	193	433	313	302	263	281	388	616	461	489	590	438	680	645	527	465	395	567	488	688	544
DDB_G0278157	3;3	377108;377726	377604;377876	+;+	648	731	366	419	319	350	270	487	902	1475	1077	823	1221	802	729	910	632	872	342	881	919	1172	746
DDB_G0278159	3;3;3;3	378120;378508;379004;379592	378378;378902;379457;379977	-;-;-;-	1494	877	25	5	14	30	33	36	38	74	46	82	1156	20	17	41	39	35	33	55	294	72	87
DDB_G0277865	3;3;3;3;3	381389;381973;382173;382522;382887	381702;382078;382420;382773;383357	+;+;+;+;+	1391	149	88	107	140	194	142	271	573	1059	687	657	133	210	199	279	283	473	372	670	339	757	488
DDB_G0278161	3;3	385354;385840	385527;387534	+;+	1869	90	71	249	112	149	69	65	146	147	109	82	46	196	322	195	73	77	127	119	57	146	183
DDB_G0278163	3;3	387740;388106	388010;388320	-;-	486	200	493	468	475	487	483	612	823	1083	928	1178	193	1180	934	1059	1078	821	1423	1026	780	1786	1659
DDB_G0278167	3	391115	391267	+	153	9	48	25	22	20	19	17	21	20	10	8	23	76	34	53	52	74	217	35	26	14	16
DDB_G0278169	3	391453	392309	-	857	21	9	28	22	27	15	26	26	53	13	11	32	26	41	48	20	49	52	29	19	21	16
DDB_G0278171	3	393144	395891	+	2748	22	13	42	53	41	40	68	69	89	119	82	8	11	28	24	43	59	78	54	14	99	96
DDB_G0278173	3	395988	397726	-	1739	34	24	56	106	91	59	110	235	286	156	180	12	23	57	114	67	199	251	77	86	113	50
DDB_G0278179	3;3	400465;402119	402009;402529	-;-	1956	874	129	65	197	463	431	639	466	429	278	294	176	103	65	103	233	458	1057	418	150	370	604
DDB_G0278181	3;3	405555;406960	406868;408659	+;+	3014	135	266	353	300	303	213	404	563	1194	906	787	101	373	308	405	382	394	412	595	350	692	564
DDB_G0278183	3;3	408831;410614	410507;410742	-;-	1806	20	2	5	8	7	7	3	3	2	5	0	16	0	6	6	2	3	6	3	10	2	0
