# Program:featureCounts v2.0.0; Command:featureCounts -a reference/D_discoideum_PASAua.gtf -o featureCounts/counts.txt -s 2 -T 4 merged_mapped/SI-2309-FS146-0h-h.bam merged_mapped/SI-2309-FS146-0h-i.bam merged_mapped/SI-2309-FS146-0h-j.bam merged_mapped/SI-2309-FS146-0h-k.bam merged_mapped/SI-2309-FS146-10h-h.bam merged_mapped/SI-2309-FS146-10h-i.bam merged_mapped/SI-2309-FS146-10h-j.bam merged_mapped/SI-2309-FS146-10h-k.bam merged_mapped/SI-2309-FS146-2h-h.bam merged_mapped/SI-2309-FS146-2h-i.bam merged_mapped/SI-2309-FS146-2h-j.bam merged_mapped/SI-2309-FS146-2h-k.bam merged_mapped/SI-2309-FS146-4h-h.bam merged_mapped/SI-2309-FS146-4h-i.bam merged_mapped/SI-2309-FS146-4h-j.bam merged_mapped/SI-2309-FS146-4h-k.bam merged_mapped/SI-2309-FS146-6h-h.bam merged_mapped/SI-2309-FS146-6h-i.bam merged_mapped/SI-2309-FS146-6h-j.bam merged_mapped/SI-2309-FS146-6h-k.bam merged_mapped/SI-2309-FS146-8h-h.bam merged_mapped/SI-2309-FS146-8h-i.bam merged_mapped/SI-2309-FS146-8h-j.bam merged_mapped/SI-2309-FS146-8h-k.bam																													
Geneid	Chr	Start	End	Strand	Length	merged_mapped/SI-2309-FS146-0h-h.bam	merged_mapped/SI-2309-FS146-0h-i.bam	merged_mapped/SI-2309-FS146-0h-j.bam	merged_mapped/SI-2309-FS146-0h-k.bam	merged_mapped/SI-2309-FS146-10h-h.bam	merged_mapped/SI-2309-FS146-10h-i.bam	merged_mapped/SI-2309-FS146-10h-j.bam	merged_mapped/SI-2309-FS146-10h-k.bam	merged_mapped/SI-2309-FS146-2h-h.bam	merged_mapped/SI-2309-FS146-2h-i.bam	merged_mapped/SI-2309-FS146-2h-j.bam	merged_mapped/SI-2309-FS146-2h-k.bam	merged_mapped/SI-2309-FS146-4h-h.bam	merged_mapped/SI-2309-FS146-4h-i.bam	merged_mapped/SI-2309-FS146-4h-j.bam	merged_mapped/SI-2309-FS146-4h-k.bam	merged_mapped/SI-2309-FS146-6h-h.bam	merged_mapped/SI-2309-FS146-6h-i.bam	merged_mapped/SI-2309-FS146-6h-j.bam	merged_mapped/SI-2309-FS146-6h-k.bam	merged_mapped/SI-2309-FS146-8h-h.bam	merged_mapped/SI-2309-FS146-8h-i.bam	merged_mapped/SI-2309-FS146-8h-j.bam	merged_mapped/SI-2309-FS146-8h-k.bam
DDB_G0277951	3;3;3	55099;55423;55799	55319;55652;55975	-;-;-	628	1199	1325	1220	1012	3270	2024	1703	1290	2403	1730	1299	421	3850	1394	4619	1824	5210	2705	2505	2133	6814	1429	3157	3797
DDB_G0277953	3	56536	59868	+	3333	268	709	516	453	322	220	256	175	540	638	53	212	267	80	94	186	223	69	222	163	181	251	81	225
DDB_G0277955	3;3;3	60113;60505;61469	60401;61351;61614	-;-;-	1282	311	359	283	237	274	316	148	113	514	362	139	69	260	99	257	159	354	264	198	247	540	138	214	307
DDB_G0277957	3;3	62430;62807	62611;64198	+;+	1574	1392	2640	2271	2459	5238	980	1420	3162	2286	2790	223	1686	2010	451	423	1385	1724	361	1545	920	1539	1709	683	2043
DDB_G0277959	3	64751	66786	+	2036	1888	1803	1514	1743	251	555	287	168	2009	1795	1231	416	611	280	430	375	858	1133	773	480	288	146	157	185
DDB_G0277961	3	66831	68282	-	1452	3	4	7	3	2	6	0	3	5	7	1	0	5	1	2	2	6	1	0	2	6	1	4	6
DDB_G0277963	3;3;3;3	68721;69268;69505;69867	69195;69378;69672;70426	-;-;-;-	1314	175	163	147	190	308	462	210	171	225	199	145	63	302	90	258	137	627	330	246	307	660	146	255	456
DDB_G0277967	3;3;3;3	72018;72567;72760;73123	72503;72664;73015;75437	+;+;+;+	3155	27	83	132	160	635	241	396	345	278	220	23	71	121	59	23	41	120	73	115	91	144	75	29	91
DDB_G0277859	3;3	76833;77162	76887;77624	+;+	518	16445	18940	16024	14857	67080	33948	35746	29397	83646	59488	65214	27215	51245	14145	21507	14043	60839	24752	19614	21337	99215	29446	52121	46965
DDB_G0277969	3	78242	79471	+	1230	112	110	130	129	40	123	44	33	232	156	107	39	211	50	118	77	294	139	87	152	242	63	99	154
DDB_G0295697	3;3	79918;80332	80221;80564	+;+	537	8958	11933	10207	10048	3862	4461	3048	1768	4941	6909	5910	1386	15939	6716	15450	5297	14364	10060	11829	4712	11786	2241	9165	5544
DDB_G0277971	3;3	80768;81135	80911;81314	-;-	324	11994	16448	16320	14428	31887	22495	18858	16122	21311	17439	13303	5879	34519	12933	37539	17493	29249	23052	20534	12663	39337	10049	19927	21885
DDB_G0277973	3	83008	83922	+	915	92	165	202	139	101	62	131	84	394	320	673	51	583	223	803	253	465	139	294	301	154	93	207	231
DDB_G0277839	3;3	84465;84776	84632;84801	-;-	194	1732	2006	2050	1345	172	43	138	128	758	574	1194	231	96	20	351	87	20	44	33	15	26	12	111	71
DDB_G0277837	3	85494	85655	-	162	6954	8235	7822	7165	16337	7569	5959	5452	6031	5421	6965	2597	12485	4299	7168	4200	14269	7147	6175	5449	19172	5239	7992	9402
DDB_G0277975	3;3;3;3;3	86901;86901;87201;87396;87396	86924;87316;87316;87857;87857	+;+;+;+;+	878	32139	54993	32120	36280	15014	5118	17771	10440	41347	48582	74601	50239	18285	7549	14079	25038	10876	4675	10604	5285	7332	15969	41568	22748
DDB_G0277977	3;3;3	88344;88821;89940	88721;89845;91113	+;+;+	2577	743	772	708	761	325	506	160	167	799	755	130	111	601	274	259	257	703	485	483	676	476	135	101	250
DDB_G0277979	3;3	91596;92256	91835;92285	-;-	270	2	6	6	2	5	2	3	4	0	0	0	1	1	0	1	0	1	1	1	1	10	0	3	4
DDB_G0277897	3;3	93233;93926	93842;93933	-;-	618	702	679	538	628	529	448	333	308	532	395	398	196	608	282	898	440	2447	1045	1148	1139	1333	362	961	952
DDB_G0277895	3;3;3;3;3	94751;94894;94986;95151;95320	94800;94902;95059;95206;95592	+;+;+;+;+	462	3172	4262	2859	2524	22331	5084	13311	10527	3336	2884	1181	1280	4148	1419	4415	2930	5877	2111	2872	2281	15996	9221	8282	12243
DDB_G0277893	3;3;3	95812;96271;96526	96190;96438;96656	+;+;+	678	229	226	163	129	174	131	122	63	465	310	211	80	300	101	348	176	300	179	177	165	312	61	207	199
DDB_G0277891	3	96837	97960	-	1124	69	63	118	143	64	143	84	25	37	20	15	7	36	8	127	45	134	201	105	50	175	41	138	95
DDB_G0277983	3;3	98599;99334	99213;99531	-;-	813	1603	1939	2217	2056	265	490	232	165	1151	899	280	118	411	183	375	288	471	488	375	291	326	95	136	261
DDB_G0277985	3;3	99770;100053	99944;100324	-;-	447	63	69	67	56	104	60	97	43	100	83	82	25	59	32	59	40	66	34	46	25	98	44	60	120
DDB_G0277883	3;3	102264;106009	104346;108452	+;+	4527	22	83	96	109	15	4	17	8	17	39	17	17	18	11	23	30	8	5	12	12	5	9	11	1
DDB_G0278581	3;3;3;3;3;3;3;3	109650;109847;110046;110456;110866;110968;111349;111904	109750;109902;110303;110578;110875;111219;111807;112841	+;+;+;+;+;+;+;+	2197	12820	13373	6965	6589	2049	1531	1915	1425	39273	37555	12690	27998	11685	3679	1616	4585	14302	2734	6824	7189	1809	6959	3000	4833
DDB_G0277875	3	113053	113951	-	899	395	394	353	375	833	377	302	358	320	331	413	196	567	222	159	193	536	274	364	295	422	229	446	494
DDB_G0277987	3;3;3;3;3;3	114291;114291;116265;117462;117871;117871	116117;116117;117725;117725;118239;118379	-;-;-;-;-;-	3797	793	1895	1326	1318	2759	661	1696	1592	1234	1656	478	1091	986	213	232	641	1505	249	1094	855	997	2229	844	1608
DDB_G0277989	3;3;3;3;3;3;3;3;3;3;3;3;3	119542;119799;120097;120304;120544;121870;122219;122658;123240;123525;123849;124132;124777	119724;120034;120191;120443;121782;122136;122555;123157;123439;123750;124052;124704;124962	+;+;+;+;+;+;+;+;+;+;+;+;+	4386	410	463	359	301	766	654	623	305	4160	3481	1091	667	703	356	798	396	1103	590	846	710	812	302	506	481
DDB_G0277991	3;3;3	125527;126068;126341	126002;126221;126542	+;+;+	832	3211	4105	4095	4100	6420	5917	3392	2797	5733	3827	3325	1442	6208	2095	4944	3220	7888	4589	3661	3805	13053	2434	4887	6462
DDB_G0277993	3;3;3	126827;127029;127216	126921;127125;128657	+;+;+	1634	7711	9490	4702	4699	985	323	882	439	2227	3002	2094	2060	1188	578	454	876	569	227	870	303	287	829	625	688
DDB_G0277997	3;3;3;3	130346;131006;131354;131770	130907;131260;131582;140572	+;+;+;+	9849	462	1217	984	961	317	213	147	147	1127	898	82	104	368	322	323	188	531	252	374	586	330	143	114	210
DDB_G0277879	3;3;3;3	140892;141844;142300;143226	141625;142177;142751;143385	-;-;-;-	1680	6491	6527	5928	6777	56414	15492	21148	21727	4869	5366	3645	3382	8748	2847	1960	2813	7304	1791	3744	4528	20071	12122	11234	17826
DDB_G0277999	3;3	144920;146040	145969;146199	-;-	1210	338	340	413	408	116	231	161	156	175	125	129	58	270	108	537	202	430	418	352	190	294	50	277	219
DDB_G0278001	3	146547	146946	-	400	0	1	1	0	83	7	34	32	0	0	0	0	0	0	2	0	0	0	1	0	12	0	4	8
DDB_G0278003	3	147338	148477	-	1140	889	838	712	667	2801	4209	1795	2230	2521	1670	1019	526	687	221	608	494	973	888	709	733	3935	489	1338	2475
DDB_G0278005	3;3	151970;152155	152055;153142	-;-	1074	87	169	96	83	26	24	12	10	32	23	15	7	39	5	29	14	48	18	30	23	36	17	21	35
DDB_G0278007	3	153492	153810	-	319	455	594	512	376	1135	615	747	440	1380	775	843	306	886	277	601	442	1392	481	528	606	2289	817	1456	1673
DDB_G0278009	3;3;3	154173;154468;154637	154371;154553;155011	+;+;+	660	347	366	266	253	82	95	43	37	628	318	326	112	298	96	311	106	358	206	173	132	278	60	163	150
DDB_G0278011	3;3;3	155490;155800;155975	155676;155882;156262	+;+;+	558	14	9	15	13	7	7	8	7	428	247	293	64	19	5	13	10	16	10	2	6	7	4	10	8
DDB_G0294575	3;3;3	156515;157925;161541	157856;161455;161593	+;+;+	4926	178	236	182	185	83	90	69	21	1686	1706	77	92	163	87	158	80	205	133	165	167	60	38	33	53
DDB_G0278013	3;3	162083;163154	162661;163183	-;-	609	1778	2181	1087	985	5034	2712	2376	2293	6560	5281	4093	1269	2461	837	1283	1222	1695	770	551	791	6352	1229	2640	3668
DDB_G0278015	3;3;3;3;3	164340;164623;164990;166022;166656	164507;164912;165920;166562;167062	-;-;-;-;-	2337	300	541	430	435	1015	201	938	674	487	588	445	407	438	65	174	514	406	41	278	169	314	946	424	833
DDB_G0278017	3	167304	167864	-	561	2	6	6	8	985	328	432	416	15	8	4	1	2	2	13	2	10	6	6	11	339	23	43	87
DDB_G0304475	3	168637	170015	+	1379	542	661	682	771	1254	1268	1279	724	607	586	449	288	1334	428	1464	838	1426	1323	1298	775	1182	785	1178	872
DDB_G0278021	3;3;3	170689;171450;172267	171211;172159;172423	+;+;+	1390	330	659	398	380	505	186	216	304	390	420	102	204	359	104	150	196	384	121	238	199	385	181	186	249
DDB_G0278023	3;3	172931;173190	172975;173395	-;-	251	363	427	544	406	444	300	466	193	764	426	643	172	494	154	843	305	632	316	403	273	843	372	725	643
DDB_G0278025	3;3;3	174077;174462;175053	174136;174944;175312	+;+;+	803	4483	4258	3077	3286	477	428	677	536	10891	10232	12165	8162	2694	1159	568	1620	870	402	819	499	303	477	1049	1089
DDB_G0278027	3;3;3	175913;176074;176460	175926;176351;176563	+;+;+	396	1064	1035	1115	1026	672	666	308	259	466	323	236	125	381	222	293	222	887	544	459	490	1321	257	356	541
DDB_G0278029	3	176737	178182	-	1446	67	105	62	62	9	15	9	6	66	57	24	14	43	25	23	29	31	15	18	27	21	10	13	16
DDB_G0278031	3;3	178451;179198	179115;179330	-;-	798	925	880	934	825	413	801	660	503	5389	3975	5048	1018	1951	628	2931	1078	2085	1404	1096	631	1298	304	1250	993
DDB_G0277909	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3	179890;179890;180127;180127;180510;180920;180920;181151;181151;181501;181501;181725;181725;182201;182201;182494;182494	180037;180037;180488;180827;180827;180973;180973;181300;181300;181563;181563;181790;181790;182332;182332;182605;182605	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1426	1088	3470	1622	2049	443	469	245	206	7772	9289	1087	3674	1325	204	483	389	787	302	819	233	206	135	231	421
DDB_G0295721	3;3	183263;183728	183627;183902	-;-	540	1255	1479	1584	1171	249	365	275	174	1241	683	800	256	447	205	500	368	596	462	385	396	570	172	604	561
DDB_G0278039	3;3;3	186142;186449;186942	186299;186692;187065	+;+;+	526	1766	1871	2062	1814	892	940	798	439	1703	1271	1239	474	1646	570	1547	909	1686	1237	1072	833	1778	478	1159	1140
DDB_G0277855	3;3	187914;189355	189265;189878	-;-	1876	10522	10765	9285	8913	26998	9836	13219	11041	70337	54895	48539	42404	18105	7119	4908	7208	21268	4757	6952	7742	30339	25076	22168	21472
DDB_G0278045	3;3	190215;190789	190224;191792	+;+	1014	5	8	8	0	3	19	4	1	483	246	136	61	24	4	15	6	48	10	4	36	62	12	37	27
DDB_G0278047	3;3	191956;193095	193009;193274	-;-	1234	665	587	534	545	1067	1727	568	670	1150	896	334	226	717	233	338	357	1200	707	509	895	2552	373	494	1189
DDB_G0278049	3;3	193790;194164	194060;194236	+;+	344	209	204	250	175	518	304	386	220	563	394	306	132	284	87	348	241	511	254	201	245	824	201	562	579
DDB_G0278051	3;3	194560;197496	197409;197654	-;-	3009	1295	1443	1114	970	144	395	193	151	2923	2405	469	426	211	107	119	160	158	267	231	201	107	61	36	131
DDB_G0278053	3;3	198473;200264	200134;200553	-;-	1952	3848	3653	2941	3038	882	1423	1264	617	6942	6029	3346	2074	1958	880	1057	1140	1057	1167	1393	829	817	597	726	813
DDB_G0294617	3;3;3	200971;201578;201758	201484;201653;201929	-;-;-	762	50	54	82	89	67	157	113	45	137	69	41	30	66	17	112	67	132	144	112	61	160	55	132	123
DDB_G0277913	3;3;3;3;3	202953;202953;203116;203116;203315	202981;202981;205644;203206;205646	+;+;+;+;+	2560	1735	3056	2429	2935	1608	2153	1341	1205	3020	2465	1102	1266	1362	616	671	685	1903	1573	2072	1676	1657	749	820	1236
DDB_G0278057	3;3	206243;206592	206335;207086	+;+	588	791	650	685	610	2666	2209	1895	1259	1635	1297	1054	443	2131	503	2258	865	3184	1507	1115	1285	5422	1322	2441	2649
DDB_G0278059	3;3;3;3	207383;208094;208975;209485	208003;208885;209372;209554	-;-;-;-	1881	179	208	190	227	112	90	53	70	63	51	34	8	103	28	55	29	233	44	80	121	177	80	68	161
DDB_G0278061	3;3;3;3;3	209901;210359;210747;211021;211224	210204;210667;210916;211090;211414	-;-;-;-;-	1044	548	746	708	573	858	747	489	392	834	761	515	128	994	388	1095	486	1731	838	762	918	1826	434	816	1110
DDB_G0278063	3;3	211823;212362	212270;214784	+;+	2871	1852	3011	2417	2619	1140	1159	715	521	2159	2525	929	706	4339	1888	1694	1336	3234	1270	2563	2880	2180	1568	874	1483
DDB_G0278065	3	214953	215198	-	246	0	0	0	0	126	29	53	42	1	0	0	0	1	0	0	0	0	0	0	0	16	7	8	15
DDB_G0278067	3	216614	217203	+	590	1	1	1	0	1944	376	616	538	1	0	2	0	2	0	3	0	10	3	2	6	1624	262	551	800
DDB_G0278069	3;3;3	221612;222033;222385	221948;222310;224267	+;+;+	2498	9	16	9	4	6415	685	2503	3127	2	12	1	6	29	2	12	19	330	14	119	98	1162	2883	621	2005
DDB_G0278591	3	225002	227174	+	2173	410	931	632	438	292	64	177	196	669	860	102	289	247	54	55	196	191	47	156	68	94	179	68	138
DDB_G0278071	3;3	227597;228616	228501;228670	-;-	960	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DDB_G0278073	3	229027	232659	-	3633	93	222	299	405	203	106	108	148	100	73	13	13	72	81	26	29	96	62	118	77	77	21	26	38
DDB_G0278075	3;3;3;3;3	233703;233956;234096;234293;234641	233815;234020;234174;234502;234872	+;+;+;+;+	699	787	854	809	833	980	888	477	691	691	655	739	429	1212	519	489	452	1764	913	1070	816	1353	302	736	980
DDB_G0278077	3;3	235235;237421	237296;238123	-;-	2765	9950	12839	10263	11210	4427	2009	2594	2707	3100	4876	2408	2856	3151	1356	576	1408	2744	845	2525	2145	2691	1760	1743	3283
DDB_G0278593	3	240388	242531	+	2144	1186	2247	2470	2487	149	292	136	117	1399	1165	433	243	357	139	300	263	345	283	292	327	219	82	86	175
DDB_G0278079	3	242964	245120	+	2157	3185	4159	4064	4960	459	791	624	257	681	1054	238	132	3272	2252	6165	1754	4065	3592	4350	2327	1069	425	1123	633
DDB_G0277863	3;3;3	246720;246880;247397	246777;247308;247623	+;+;+	714	3653	2990	3217	3275	1115	1794	560	631	59405	34414	44909	8814	18947	6311	11164	9784	13637	5095	3931	6912	10717	1900	5861	11780
DDB_G0278083	3;3;3;3;3;3;3	249248;249248;249872;250018;250018;251916;251916	249927;249784;249927;251835;251835;252103;252103	-;-;-;-;-;-;-	2686	9	25	41	28	984	843	759	639	16	19	4	5	70	22	60	33	343	109	123	320	1005	391	286	652
DDB_G0277849	3;3	252336;254800	254716;255048	-;-	2630	5100	9281	7491	9410	9729	3214	8755	4759	6961	12363	7420	8282	9435	3234	10835	9563	8925	3789	9644	3285	5274	7774	6367	6305
DDB_G0278093	3	259686	262139	-	2454	43	56	40	39	83	173	61	56	161	96	83	25	115	25	114	61	137	57	49	111	255	60	125	190
DDB_G0278095	3;3	262493;263657	263447;263798	-;-	1097	13341	16098	16116	16610	4590	6341	4233	3079	12238	10120	13232	5430	17424	5319	9204	7797	11696	9519	7590	5599	7753	3023	5746	5676
DDB_G0278097	3;3	264255;266399	266199;270651	+;+	6198	56	225	209	272	69	58	57	38	178	162	17	42	103	68	67	70	83	103	133	122	45	47	40	56
DDB_G0278101	3;3;3	272535;272858;273104	272723;272985;273185	-;-;-	399	5503	6330	3940	3428	1016	1093	819	605	8038	7036	6781	1769	7165	2624	5547	2488	2972	2326	2049	1063	1350	420	1016	1027
DDB_G0277885	3	273541	275042	-	1502	9139	15834	14232	16880	21087	4589	10476	8047	6237	7437	4973	6152	6112	1638	4184	6044	8876	1700	4922	2345	12472	16233	18284	17153
DDB_G0277889	3;3	276805;276993	276895;278197	+;+	1296	2571	3330	2374	2527	2986	5950	2743	986	6138	4722	2707	1594	4860	1850	5503	2336	6226	4853	2702	3674	7739	1934	2385	3249
DDB_G0278103	3	278702	279958	+	1257	337	360	318	271	214	103	272	180	618	518	304	265	330	47	178	235	204	90	150	65	129	192	147	157
DDB_G0278105	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3	280163;280163;280163;280528;280528;280528;280807;280807;280807;281592;281592;281592;281947;281947;282421;282421;282598;282598	280355;280355;280355;280714;280714;280714;281483;281483;281483;281806;281806;281806;282344;282056;282518;282518;282800;282800	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1971	1305	1328	1264	1327	2670	1963	1772	951	2813	2089	759	1132	4530	1929	3065	1916	4484	2658	2400	2284	4476	1814	1577	2366
DDB_G0278107	3	283147	283879	+	733	1170	1521	1746	1601	1123	1581	628	551	1691	1202	905	415	1510	469	883	671	1956	1486	757	1202	3731	403	1320	1754
DDB_G0295723	3;3	283984;284353	284255;286462	-;-	2382	471	702	532	516	1536	439	1200	889	727	763	593	554	534	134	311	519	598	181	471	236	588	921	552	769
DDB_G0278597	3;3	287397;288166	288081;288384	-;-	904	3863	4348	4685	4765	2348	3837	2247	1235	7938	5094	4900	1746	7266	2222	7630	3619	7563	5843	3983	3550	6479	1856	3337	4341
DDB_G0277827	3;3;3;3	292726;292921;293261;293503	292801;293178;293355;293637	-;-;-;-	564	2472	2820	2967	2964	4735	2345	1894	2144	19786	16754	8335	2423	58269	22659	31952	12637	73823	29092	20366	22118	6001	2858	1902	2222
DDB_G0278111	3;3;3	294243;294628;294805	294501;294727;294885	-;-;-	440	968	1084	870	824	1336	1725	609	492	1040	769	498	210	997	322	389	338	2145	879	763	962	4120	628	1154	1965
DDB_G0278113	3	295249	295926	-	678	4058	4380	3835	3799	3945	3525	2938	1619	6365	4041	3921	1420	3941	1386	6111	2939	4269	3825	2706	1756	6507	1642	4557	3927
DDB_G0278115	3;3	296602;296930	296801;297542	+;+	813	12574	14216	16123	11716	1660	4288	2762	994	2341	1730	1410	521	4925	2040	12331	4500	5451	7719	6888	2027	3695	710	5324	2382
DDB_G0278601	3;3;3;3;3;3	297893;298139;298987;299166;299703;300161	298057;298908;299092;299600;300066;302250	+;+;+;+;+;+	3930	215	281	229	286	350	183	153	166	188	173	39	46	217	84	45	77	237	82	165	297	199	67	53	120
DDB_G0277921	3;3;3;3	302308;302863;303098;303364	302753;302992;303264;303637	-;-;-;-	1017	5	0	3	3	60	68	11	17	63	40	30	8	73	20	16	12	40	17	13	45	163	35	50	92
DDB_G0277825	3;3;3	304397;305518;305965	305350;305603;306034	-;-;-	1110	6849	14510	10748	10483	22753	5778	14864	10526	42246	39192	5162	31595	9384	1668	4216	9125	7318	1906	5480	2491	12322	17182	9584	15080
DDB_G0278117	3;3;3	306850;306994;307192	306854;307086;307279	+;+;+	186	3404	4518	4522	3616	23838	11714	10332	8122	5721	3115	3261	1297	5981	1743	4913	2679	16368	5480	4770	5912	55874	10599	22359	23674
DDB_G0278119	3;3	307396;308874	308791;309084	-;-	1607	54	82	62	45	26	22	21	9	39	56	11	4	6	3	5	15	6	2	15	12	15	19	11	13
DDB_G0277881	3;3;3;3	309381;309644;310051;310217	309525;309882;310086;310367	-;-;-;-	571	4411	6428	5147	5191	8841	6666	2045	4152	18211	12925	10073	4922	4620	1072	1787	2224	6023	3850	2636	2211	10969	1494	5105	5197
DDB_G0278603	3;3	311161;311297	311235;311727	+;+	506	105	96	96	65	38	51	42	30	172	115	74	31	75	40	103	59	106	74	73	58	69	21	64	74
DDB_G0295725	3	312000	313085	-	1086	1871	1916	2793	2403	4771	5429	2679	2109	2188	1277	1729	640	6773	2781	4424	1955	16119	6042	4444	8166	36645	7605	12903	16804
DDB_G0278607	3;3	313759;314237	313955;315215	+;+	1176	2142	4358	3269	3645	626	731	1103	455	950	908	294	834	628	181	344	835	674	350	811	419	700	909	933	1130
DDB_G0278609	3;3	316046;316564	316465;317868	+;+	1725	1250	1501	1923	1918	287	709	366	315	19576	10452	8824	4492	333	96	202	220	399	464	271	252	396	143	234	454
DDB_G0278611	3	318473	321122	+	2650	0	0	0	0	127	80	63	35	0	0	0	0	0	1	0	0	5	0	5	7	195	53	62	130
